Unit_Code,Plot_Name,Sample_Year,Date,Cycle,CWD_Vol,Tag,Latin_Name,Decay_Class,Density
ALPO,ALPO-006,2009,20090720,1,0.877473611,NA,Unknown Tree,2,NA
ALPO,ALPO-006,2009,20090720,1,2.385432367,NA,Unknown Tree,3,NA
ALPO,ALPO-006,2009,20090720,1,2.841936429,NA,Betula lenta,3,NA
ALPO,ALPO-006,2009,20090720,1,3.179173549,NA,Fagus grandifolia,2,NA
ALPO,ALPO-006,2009,20090720,1,3.837919476,NA,Unknown Tree,5,NA
ALPO,ALPO-006,2013,20130722,2,0.923832879,NA,Betula lenta,4,NA
ALPO,ALPO-006,2013,20130722,2,1.611413435,NA,Unknown Tree,4,NA
ALPO,ALPO-006,2013,20130722,2,2.029973938,NA,Prunus serotina,1,NA
ALPO,ALPO-006,2013,20130722,2,2.06143194,NA,Betula lenta,3,NA
ALPO,ALPO-006,2013,20130722,2,2.730556837,NA,Unknown Tree,3,NA
ALPO,ALPO-006,2013,20130722,2,3.188559939,NA,Acer pensylvanicum,2,NA
ALPO,ALPO-006,2017,20170725,3,1.110552539,NA,Unknown Tree,2,NA
ALPO,ALPO-006,2017,20170725,3,1.443488874,NA,Betula lenta,3,NA
ALPO,ALPO-006,2017,20170725,3,3.171834277,NA,Betula lenta,2,NA
ALPO,ALPO-006,2017,20170725,3,3.462822825,NA,Unknown Tree,3,NA
ALPO,ALPO-006,2017,20170725,3,4.9574093,NA,Acer sp.,1,NA
ALPO,ALPO-006,2017,20170725,3,6.219985271,NA,Unknown Tree,4,NA
ALPO,ALPO-009,2011,20110705,2,1.237684078,NA,Unknown Tree,4,NA
ALPO,ALPO-009,2011,20110705,2,10.31928212,NA,Unknown Tree,3,NA
ALPO,ALPO-009,2015,20150707,3,2.319509439,NA,Prunus serotina,2,NA
ALPO,ALPO-009,2015,20150707,3,6.429710259,NA,Unknown Tree,3,NA
ALPO,ALPO-009,2015,20150707,3,6.805548187,NA,Unknown Tree,2,NA
ALPO,ALPO-009,2015,20150707,3,58.89435404,NA,Prunus serotina,3,NA
ALPO,ALPO-009,2019,20190715,4,4.197356518,NA,Unknown Tree,3,NA
ALPO,ALPO-009,2019,20190715,4,52.61070186,NA,Unknown Tree,2,NA
ALPO,ALPO-015,2009,20090720,1,5.485580402,NA,Unknown Tree,5,NA
