Event_ID,Plot_Name,Event_Date,Event_Date_Txt,Event_Year,Unit_Code,Unit_Group,Subunit_Group,Protocol_Name,Panel,Frame,Cycle,excludeEvent,numHerbPlots,numSapPlots,numSeedPlots,Stand_Structure_ID,Crown_Closure_ID,Deer_Browse_Line_ID,Groundstory_Cover_Class_Low,Groundstory_Cover_Class_Mid,Groundstory_Cover_Class_High,Forest_Floor_Bare_Soil_Cover_Class_ID,Forest_Floor_Rock_Cover_Class_ID,Forest_Floor_Trampled_Cover_Class_ID,Plot_Slope_Percent
{A865E5F6-0F99-423C-BE98-96A9C9575122},ALPO-006,7/20/2009,20090720,2009,ALPO,ALPO,NA,3,3,ERMN,1,0,12,4,4,3,5,2,7,6,6,0,2,0,30
{4F17434A-3EED-42D1-A1BD-C5B66FB3247B},ALPO-006,7/22/2013,20130722,2013,ALPO,ALPO,NA,6,3,ERMN,2,0,12,4,4,3,5,3,6,4,6,2,1,0,30
{6D146DB1-5711-4FD2-B522-56DEE1737675},ALPO-006,7/25/2017,20170725,2017,ALPO,ALPO,NA,8,3,ERMN,3,0,12,4,4,3,5,3,5,6,5,1,0,0,30
{6A9AFBF2-8304-4E67-9806-EC4882CA296A},ALPO-009,7/5/2011,20110705,2011,ALPO,ALPO,NA,5,1,ERMN,2,0,12,4,4,3,5,3,7,6,6,0,1,0,5
{CEAFC5F2-04D9-492A-A9E2-41314B6AF6D8},ALPO-009,7/7/2015,20150707,2015,ALPO,ALPO,NA,7,1,ERMN,3,0,12,4,4,3,5,3,7,6,6,1,1,0,5
{65AD746A-2B4F-429E-AFA2-4A58C5C02361},ALPO-009,7/15/2019,20190715,2019,ALPO,ALPO,NA,10,1,ERMN,4,0,12,4,4,3,5,3,7,4,5,0,1,0,5
{9DD7C386-4469-4851-A232-4BFCAC66AAB5},ALPO-012,7/6/2010,20100706,2010,ALPO,ALPO,NA,4,4,ERMN,1,0,12,4,4,3,5,2,8,7,6,0,1,3,2
{58052F29-ADAC-4FF4-BEFF-6608E073C9F6},ALPO-012,7/8/2014,20140708,2014,ALPO,ALPO,NA,6,4,ERMN,2,0,12,4,4,3,5,3,7,7,7,1,1,0,2
{3B468EA4-37DC-4120-BD3F-E59FCAC50F84},ALPO-015,7/20/2009,20090720,2009,ALPO,ALPO,NA,3,3,ERMN,1,0,12,4,4,3,4,2,9,6,6,1,0,0,4
{38FC52FA-693F-4AC4-9E9E-52BA929F0973},ALPO-015,7/22/2013,20130722,2013,ALPO,ALPO,NA,6,3,ERMN,2,0,12,4,4,3,5,3,8,7,6,1,1,0,4
{BE1E7652-9FA1-4B14-B5E4-582F58BA6373},ALPO-015,7/25/2017,20170725,2017,ALPO,ALPO,NA,8,3,ERMN,3,0,12,4,4,3,5,3,7,5,6,1,0,0,4
{CEBA51B4-1348-40E0-BB50-A130699AD200},ALPO-020,9/11/2007,20070911,2007,ALPO,ALPO,NA,1,1,ERMN,1,0,12,4,4,3,5,90,9,3,5,0,3,0,11
{3847FE4E-8B66-4E7A-AD0A-7E042060288D},ALPO-020,7/5/2011,20110705,2011,ALPO,ALPO,NA,5,1,ERMN,2,0,12,4,4,3,4,4,8,5,4,0,3,0,11
{9A27D43D-588D-4B98-8CAE-93C6351A016E},ALPO-020,7/7/2015,20150707,2015,ALPO,ALPO,NA,7,1,ERMN,3,0,12,4,4,3,5,3,8,5,6,1,3,0,11
{3E231E82-4B02-4BB6-9E6E-41AC93E00215},ALPO-020,7/15/2019,20190715,2019,ALPO,ALPO,NA,10,1,ERMN,4,0,12,4,4,3,5,3,7,4,4,0,3,0,11
{7AC2AECB-A4EE-41E1-95BD-360AB36734C1},ALPO-021,7/6/2010,20100706,2010,ALPO,ALPO,NA,4,4,ERMN,1,0,12,4,4,3,5,3,7,7,6,1,3,0,18
{3AFD0B87-2FA3-4F0B-963F-7BAAAEE7970D},ALPO-021,7/8/2014,20140708,2014,ALPO,ALPO,NA,6,4,ERMN,2,0,12,4,4,3,5,3,6,5,7,1,3,0,18
{28381DFD-881D-463E-A69D-0B6FDFB59928},ALPO-021,7/9/2018,20180709,2018,ALPO,ALPO,NA,9,4,ERMN,3,0,12,4,4,3,5,4,6,5,5,1,1,0,18
{54001416-5A3B-444F-8251-6C7994021AB6},ALPO-022,5/17/2007,20070517,2007,ALPO,ALPO,NA,1,1,ERMN,1,0,12,4,4,3,5,90,4,0,5,0,2,0,-4
{EA8F01A5-DF5B-4D12-A8A8-1ED20C580BF1},ALPO-022,7/6/2011,20110706,2011,ALPO,ALPO,NA,5,1,ERMN,2,0,12,4,4,3,5,4,5,3,6,0,1,0,-4
{561612D7-ECCC-4FE3-9800-F504E46C174A},ALPO-022,7/10/2015,20150710,2015,ALPO,ALPO,NA,7,1,ERMN,3,0,12,4,4,3,5,4,5,4,6,1,1,0,-4
{6FEDED91-AFA5-45D5-ACEA-044FCFB2ED6F},ALPO-022,7/17/2019,20190717,2019,ALPO,ALPO,NA,10,1,ERMN,4,0,12,4,4,3,5,3,5,6,6,0,1,0,-4
{639EDE72-EB64-4C67-9A51-0AEC591C236E},ALPO-025,7/21/2009,20090721,2009,ALPO,ALPO,NA,3,3,ERMN,1,0,12,4,4,4,4,4,8,5,4,1,5,0,15
{C3DF8E3E-7B61-4CDE-A0DC-98B4E33C831F},ALPO-025,7/24/2013,20130724,2013,ALPO,ALPO,NA,6,3,ERMN,2,0,12,4,4,3,5,4,8,5,6,3,4,0,15
{4ED78796-B613-48FF-854F-EB7FC1E7C9FC},ALPO-025,7/25/2017,20170725,2017,ALPO,ALPO,NA,8,3,ERMN,3,0,12,4,4,3,4,3,8,5,3,0,1,0,15
{C724A804-1F4A-4FDC-947F-9D866E37A2B8},ALPO-027,7/21/2008,20080721,2008,ALPO,ALPO,NA,2,2,ERMN,1,0,12,4,4,3,5,90,7,5,4,2,2,0,5
{164C8DF6-1FA0-4F48-AFD3-E0E7E98B5E9E},ALPO-027,7/16/2012,20120716,2012,ALPO,ALPO,NA,5,2,ERMN,2,0,12,4,4,3,5,3,8,5,6,4,4,4,5
