Plot_Name,Unit_Code,Unit_Group,Subunit_Code,Panel,Frame,GRTS_Order,Location_Status,Location_Notes,Event_Count,Event_Earliest,Event_Latest,UTM_ZONE_NAD83_X,UTM_ZONE_NAD83_Y,Latitude,Longitude,UTM_Zone,Slope,Aspect
ALPO-006,ALPO,ALPO,NA,3,ERMN,14,Active,NA,3,20090720,20170725,706713,4481771,40.46091292,-78.56197594,17,30,346
ALPO-009,ALPO,ALPO,NA,1,ERMN,27,Active,NA,3,20110705,20190715,707458,4481771,40.46072731,-78.55319681,17,5,260
ALPO-012,ALPO,ALPO,NA,4,ERMN,12,Retired,NA,2,20100706,20140708,706572,4481504,40.45854473,-78.56372437,17,2,Flat
ALPO-015,ALPO,ALPO,NA,3,ERMN,19,Active,NA,3,20090720,20170725,707334,4481517,40.45847203,-78.55474097,17,4,314
ALPO-020,ALPO,ALPO,NA,1,ERMN,4,Active,NA,4,20070911,20190715,707957,4481298,40.45634523,-78.54747152,17,11,170
ALPO-021,ALPO,ALPO,NA,4,ERMN,25,Active,NA,3,20100706,20180709,708212,4481253,40.45587637,-78.54448157,17,18,167
ALPO-022,ALPO,ALPO,NA,1,ERMN,3,Active,NA,4,20070517,20190717,707177,4481010,40.45394773,-78.55675641,17,-4,100
ALPO-025,ALPO,ALPO,NA,3,ERMN,16,Active,NA,3,20090721,20170725,707829,4481027,40.45393802,-78.54906846,17,15,147
ALPO-027,ALPO,ALPO,NA,2,ERMN,8,Retired,NA,2,20080721,20120716,708353,4481016,40.45370786,-78.54289791,17,5,160
ALPO-030,ALPO,ALPO,NA,1,ERMN,29,Active,NA,3,20110706,20190717,707459,4480771,40.4517262,-78.55351172,17,0,Flat
ALPO-031,ALPO,ALPO,NA,4,ERMN,23,Active,NA,3,20100708,20180709,707710,4480775,40.45169954,-78.55055302,17,12,188
ALPO-036,ALPO,ALPO,NA,1,ERMN,1,Active,NA,4,20070517,20190717,708852,4480520,40.44911828,-78.53718145,17,-25,126
ALPO-040,ALPO,ALPO,NA,3,ERMN,17,Active,NA,3,20090721,20170727,709440,4480276,40.44677422,-78.5303342,17,36,12
ALPO-041,ALPO,ALPO,NA,2,ERMN,10,Active,NA,3,20080721,20160719,709393,4480081,40.44503091,-78.53095219,17,12,20
ALPO-047,ALPO,ALPO,NA,3,ERMN,18,Active,NA,3,20090721,20170727,710190,4479272,40.43754833,-78.52183029,17,31,74
ALPO-052,ALPO,ALPO,NA,2,ERMN,7,Active,NA,3,20080723,20160719,711845,4478048,40.42611185,-78.50274294,17,20,355
ALPO-053,ALPO,ALPO,NA,4,ERMN,20,Active,NA,3,20100708,20180711,712084,4478009,40.42569995,-78.49994112,17,22,26
ALPO-059,ALPO,ALPO,NA,4,ERMN,24,Active,NA,3,20100708,20180711,713215,4477272,40.41877763,-78.48686798,17,9,21
ALPO-061,ALPO,ALPO,NA,4,ERMN,26,Active,NA,3,20100709,20180711,716084,4477013,40.4157068,-78.45317096,17,1,Flat
ALPO-062,ALPO,ALPO,NA,2,ERMN,11,Active,NA,3,20080721,20160719,715455,4476755,40.41354775,-78.46066497,17,20,5
ALPO-065,ALPO,ALPO,NA,3,ERMN,13,Active,NA,3,20090723,20170727,715318,4476529,40.41154912,-78.4623546,17,15,137
ALPO-069,ALPO,ALPO,NA,2,ERMN,5,Active,NA,3,20080723,20160721,683224,4471760,40.37629697,-78.84169562,17,30,5
ALPO-072,ALPO,ALPO,NA,2,ERMN,9,Active,NA,3,20080723,20160721,682248,4471273,40.37212652,-78.85332403,17,18,300
ALPO-077,ALPO,ALPO,NA,1,ERMN,28,Active,NA,3,20110706,20190718,682353,4470016,40.36078693,-78.85244743,17,71,314
BLUE-001,BLUE,BLUE,NA,1,ERMN,4,Active,NA,4,20070819,20190806,502724,4161676,37.60216191,-80.96913997,17,32,266
BLUE-003,BLUE,BLUE,NA,2,ERMN,22,Active,NA,3,20080804,20160801,504349,4161433,37.59996538,-80.95073189,17,58,118
BLUE-004,BLUE,BLUE,NA,1,ERMN,6,Active,NA,4,20070814,20190807,504598,4161426,37.59990107,-80.94791111,17,10,270
BLUE-011,BLUE,BLUE,NA,4,ERMN,38,Active,NA,3,20100816,20180725,502355,4160941,37.595538,-80.97332271,17,44,87
BLUE-013,BLUE,BLUE,NA,1,ERMN,12,Active,NA,4,20070815,20190806,503087,4160936,37.59549076,-80.96503068,17,29,150
BLUE-016,BLUE,BLUE,NA,1,ERMN,2,Active,NA,4,20070815,20190815,503852,4160934,37.59546985,-80.95636483,17,25,180
BLUE-019,BLUE,BLUE,NA,1,ERMN,11,Active,NA,4,20070814,20190807,505085,4160925,37.59538274,-80.94239757,17,32,267
BLUE-027,BLUE,BLUE,NA,3,ERMN,26,Active,NA,3,20090728,20170803,504471,4160680,37.59317762,-80.9493544,17,1,Flat
BLUE-030,BLUE,BLUE,NA,2,ERMN,17,Active,NA,3,20080806,20160802,502350,4160426,37.59089605,-80.973381,17,50,70
BLUE-034,BLUE,BLUE,NA,3,ERMN,27,Active,NA,3,20090728,20170801,503361,4160427,37.59090192,-80.96192917,17,14,194
BLUE-038,BLUE,BLUE,NA,4,ERMN,36,Active,NA,3,20100721,20180725,504339,4160432,37.5909429,-80.95085111,17,9,158
BLUE-040,BLUE,BLUE,NA,3,ERMN,32,Active,NA,3,20090817,20170822,502478,4160169,37.58857923,-80.97193199,17,6,122
BLUE-041,BLUE,BLUE,NA,4,ERMN,42,Active,NA,3,20100722,20180723,502719,4160187,37.5887408,-80.96920214,17,16,257
BLUE-043,BLUE,BLUE,NA,1,ERMN,7,Active,NA,4,20070817,20190815,503222,4160181,37.58868509,-80.96350474,17,28,130
BLUE-044,BLUE,BLUE,NA,3,ERMN,31,Active,NA,3,20090817,20170801,503479,4160174,37.58862106,-80.96059376,17,0,Flat
BLUE-047,BLUE,BLUE,NA,2,ERMN,16,Active,NA,3,20080808,20160810,504236,4160181,37.58868098,-80.95201927,17,25,340
BLUE-049,BLUE,BLUE,NA,2,ERMN,21,Active,NA,3,20080808,20160810,504731,4160184,37.58870561,-80.94641244,17,19,310
BLUE-061,BLUE,BLUE,NA,1,ERMN,13,Active,NA,4,20070817,20190813,502206,4159195,37.57980074,-80.97501583,17,22,82
BLUE-063,BLUE,BLUE,NA,2,ERMN,23,Active,NA,3,20080806,20160802,502728,4159171,37.57958302,-80.96910399,17,48,290
BLUE-071,BLUE,BLUE,NA,4,ERMN,43,Active,NA,3,20100816,20180815,502719,4158686,37.57521147,-80.96920772,17,59,244
BLUE-072,BLUE,BLUE,NA,1,ERMN,3,Active,NA,4,20070817,20190813,501107,4158428,37.57288933,-80.98746377,17,15,120
BLUE-074,BLUE,BLUE,NA,4,ERMN,33,Active,NA,3,20100720,20180723,502103,4158424,37.57285154,-80.97618458,17,2,333
BLUE-079,BLUE,BLUE,NA,4,ERMN,8,Active,NA,1,20180814,20180814,502227,4158174,37.57064293,-80.97481506,17,36,313
BLUE-083,BLUE,BLUE,NA,4,ERMN,28,Active,NA,3,20100720,20180814,502351,4157939,37.56847936,-80.97337766,17,47,298
BLUE-088,BLUE,BLUE,NA,4,ERMN,37,Retired,NA,2,20100720,20140724,502226,4157685,37.56619023,-80.97479391,17,20,250
BLUE-089,BLUE,BLUE,NA,2,ERMN,18,Active,NA,3,20080807,20160803,499854,4157406,37.56367812,-81.00165317,17,25,111
BLUE-095,BLUE,BLUE,NA,1,ERMN,1,Active,NA,4,20070816,20190814,500717,4157182,37.56165881,-80.99188155,17,37,347
BLUE-099,BLUE,BLUE,NA,1,ERMN,9,Active,NA,4,20070816,20190814,500101,4156445,37.55501608,-80.9988565,17,38,324
BLUE-104,BLUE,BLUE,NA,3,ERMN,24,Active,NA,3,20090729,20170802,500698,4156165,37.55249202,-80.99209765,17,60,240
BLUE-109,BLUE,BLUE,NA,3,ERMN,29,Active,NA,3,20090729,20170802,500352,4155941,37.55047317,-80.99601497,17,21,28
BLUE-110,BLUE,BLUE,NA,1,ERMN,5,Active,NA,4,20070818,20190812,499230,4155672,37.54804826,-81.00871697,17,22,68
BLUE-115,BLUE,BLUE,NA,2,ERMN,14,Active,NA,3,20080807,20160809,500674,4155647,37.547823,-80.99236984,17,4,Flat
BLUE-120,BLUE,BLUE,NA,4,ERMN,34,Active,NA,3,20100721,20180726,500103,4155428,37.54584926,-80.998834,17,44,252
BLUE-126,BLUE,BLUE,NA,3,ERMN,25,Active,NA,3,20090730,20170731,499601,4154932,37.54137843,-81.00451658,17,15,315
BLUE-134,BLUE,BLUE,NA,1,ERMN,10,Active,NA,4,20070818,20190812,499088,4154433,37.53688028,-81.01032298,17,0,Flat
BLUE-136,BLUE,BLUE,NA,3,ERMN,30,Active,NA,3,20090730,20170731,498969,4154175,37.53455464,-81.01166959,17,60,30
BLUE-137,BLUE,BLUE,NA,2,ERMN,15,Active,NA,3,20080805,20160801,498342,4153928,37.53232736,-81.01876586,17,39,65
BLUE-141,BLUE,BLUE,NA,4,ERMN,40,Active,NA,3,20100719,20180724,498971,4153675,37.53004783,-81.01164625,17,25,160
BLUE-142,BLUE,BLUE,NA,3,ERMN,20,Active,NA,3,20090727,20170822,498333,4153431,37.52784758,-81.01886659,17,16,118
BLUE-147,BLUE,BLUE,NA,4,ERMN,35,Active,NA,3,20100719,20180724,499231,4153185,37.52563141,-81.00870305,17,7,335
BLUE-154,BLUE,BLUE,NA,2,ERMN,19,Active,NA,3,20080805,20160809,498725,4152678,37.52106094,-81.01442875,17,27,264
DEWA-001,DEWA,DEWA,NA,4,ERMN,84,Active,NA,3,20100609,20180618,519540,4575748,41.33297667,-74.76648271,18,1,Flat
DEWA-004,DEWA,DEWA,NA,3,ERMN,80,Active,NA,3,20090616,20170705,515806,4574240,41.31947497,-74.81114571,18,32,343
DEWA-006,DEWA,DEWA,NA,2,ERMN,35,Active,NA,3,20080623,20160613,518795,4574240,41.31941084,-74.77543259,18,12,234
DEWA-008,DEWA,DEWA,NA,2,ERMN,30,Active,NA,3,20080623,20160622,515422,4573487,41.31269961,-74.81575292,18,15,300
DEWA-019,DEWA,DEWA,NA,4,ERMN,96,Active,NA,3,20100607,20180618,516926,4571987,41.29915789,-74.79782643,18,11,10
DEWA-022,DEWA,DEWA,NA,4,ERMN,99,Active,NA,3,20100614,20180613,513563,4571232,41.29242059,-74.83801263,18,18,320
