Plot_Name,Unit_Code,Unit_Group,Subunit_Code,Cycle,Panel,Frame,Sample_Year,Date,Microplot_ID,TSN,TaxonCode,Latin_Name,Cover
ALPO-006,ALPO,ALPO,na,2,7,ERMN,2013,20130722,150,35315,4696,Sambucus sp.,0.5
ALPO-006,ALPO,ALPO,na,3,11,ERMN,2017,20170725,150,35315,4696,Sambucus sp.,0.5
ALPO-006,ALPO,ALPO,na,1,3,ERMN,2009,20090720,150,35315,4696,Sambucus sp.,1.5
ALPO-009,ALPO,ALPO,na,3,9,ERMN,2015,20150707,150,19033,2406,Hamamelis virginiana,0.5
ALPO-009,ALPO,ALPO,na,4,13,ERMN,2019,20190715,150,19033,2406,Hamamelis virginiana,0.5
ALPO-009,ALPO,ALPO,na,4,13,ERMN,2019,20190715,210,19033,2406,Hamamelis virginiana,0.5
ALPO-009,ALPO,ALPO,na,3,9,ERMN,2015,20150707,210,19033,2406,Hamamelis virginiana,0.5
ALPO-009,ALPO,ALPO,na,4,13,ERMN,2019,20190715,210,24848,4484,Rubus sp.,0.5
ALPO-009,ALPO,ALPO,na,3,9,ERMN,2015,20150707,30,19033,2406,Hamamelis virginiana,62.5
ALPO-009,ALPO,ALPO,na,2,5,ERMN,2011,20110705,30,19033,2406,Hamamelis virginiana,17.5
ALPO-009,ALPO,ALPO,na,4,13,ERMN,2019,20190715,30,19033,2406,Hamamelis virginiana,62.5
ALPO-009,ALPO,ALPO,na,3,9,ERMN,2015,20150707,330,19033,2406,Hamamelis virginiana,0.5
ALPO-009,ALPO,ALPO,na,2,5,ERMN,2011,20110705,330,19033,2406,Hamamelis virginiana,0.5
ALPO-009,ALPO,ALPO,na,4,13,ERMN,2019,20190715,330,19033,2406,Hamamelis virginiana,0.5
ALPO-012,ALPO,ALPO,na,2,8,ERMN,2014,20140708,150,27776,1903,Elaeagnus umbellata,0.5
ALPO-012,ALPO,ALPO,na,2,8,ERMN,2014,20140708,150,19033,2406,Hamamelis virginiana,7.5
ALPO-012,ALPO,ALPO,na,1,4,ERMN,2010,20100706,150,19033,2406,Hamamelis virginiana,17.5
ALPO-012,ALPO,ALPO,na,1,4,ERMN,2010,20100706,150,35315,4696,Sambucus sp.,0.5
ALPO-012,ALPO,ALPO,na,2,8,ERMN,2014,20140708,150,35315,4696,Sambucus sp.,0.5
ALPO-012,ALPO,ALPO,na,2,8,ERMN,2014,20140708,210,19033,2406,Hamamelis virginiana,0.5
ALPO-012,ALPO,ALPO,na,1,4,ERMN,2010,20100706,210,19033,2406,Hamamelis virginiana,0.5
ALPO-012,ALPO,ALPO,na,1,4,ERMN,2010,20100706,210,24866,4487,Rubus allegheniensis,1.5
ALPO-012,ALPO,ALPO,na,2,8,ERMN,2014,20140708,210,24848,4484,Rubus sp.,0.5
