"Unit_Code","Plot_Name","Sample_Year","Date","Cycle","CWD_Vol","Tag","Latin_Name","Decay_Class","Density"
"GETT","GETT-167",2017,20170724,"Cycle3",111.960945007178,NA,"Quercus",3,NA
"GETT","GETT-167",2017,20170724,"Cycle3",18.539157094958,NA,"Unknown Hardwood",3,NA
"PETE","PETE-297",2010,20100913,"Cycle1",31.4664905139623,NA,"Pinus taeda",3,NA
"PETE","PETE-297",2010,20100913,"Cycle1",23.655745682172,NA,"Unknown Hardwood",3,NA
"FRSP","FRSP-055",2011,20110831,"Cycle2",18.4380867988831,NA,"Quercus",3,NA
"FRSP","FRSP-055",2011,20110831,"Cycle2",31.0549568893913,NA,"Quercus rubra",3,NA
"FRSP","FRSP-055",2011,20110831,"Cycle2",5.78357103654271,NA,"Unknown Hardwood",3,NA
"FRSP","FRSP-055",2011,20110831,"Cycle2",12.9234440966976,NA,"Carya",3,NA
"BOWA","BOWA-094",2016,20160809,"Cycle3",16.0821014813276,NA,"Pinus",3,NA
"BOWA","BOWA-094",2016,20160809,"Cycle3",4.9897407780865,NA,"Pinus",2,NA
"BOWA","BOWA-094",2016,20160809,"Cycle3",10.3943669973449,NA,"Pinus",4,NA
"PETE","PETE-065",2011,20110816,"Cycle2",29.8648087943593,NA,"Pinus taeda",3,NA
"PETE","PETE-065",2011,20110816,"Cycle2",5.38237625165723,NA,"Pinus taeda",4,NA
"GETT","GETT-034",2011,20110803,"Cycle2",10.9722594855182,NA,"Unknown Hardwood",4,NA
"GETT","GETT-034",2011,20110803,"Cycle2",15.5538497503147,NA,"Unknown Hardwood",3,NA
"FRSP","FRSP-235",2013,20130820,"Cycle2",12.2173131066342,NA,"Pinus virginiana",1,NA
"BOWA","BOWA-182",2017,20170801,"Cycle3",2.79286965999811,NA,"Acer rubrum",2,NA
"BOWA","BOWA-182",2017,20170801,"Cycle3",6.7571320940402,NA,"Unknown Hardwood",3,NA
"FRSP","FRSP-290",2018,20180820,"Cycle3",20.9917641608865,NA,"Pinus",4,NA
"FRSP","FRSP-290",2018,20180820,"Cycle3",4.78301386287145,NA,"Quercus",3,NA
"FRSP","FRSP-290",2018,20180820,"Cycle3",4.63605511446956,NA,"Quercus",4,NA
"VAFO","VAFO-076",2016,20160728,"Cycle3",9.30084306900049,NA,"Quercus",3,NA
"COLO","COLO-370",2018,20180815,"Cycle2",28.1527877529904,NA,"Unknown Hardwood",3,NA
"VAFO","VAFO-079",2016,20160728,"Cycle3",50.3107224561981,NA,"Quercus (Red group)",3,NA
"FRSP","FRSP-210",2017,20170905,"Cycle3",6.84862191746954,NA,"Unknown Hardwood",3,NA
"FRSP","FRSP-210",2017,20170905,"Cycle3",24.1533516180183,NA,"Unknown Hardwood",4,NA
"PETE","PETE-186",2017,20170815,"Cycle3",3.2712291007563,NA,"Quercus alba",3,NA
"PETE","PETE-186",2017,20170815,"Cycle3",13.2397188588739,NA,"Pinus taeda",3,NA
"PETE","PETE-186",2017,20170815,"Cycle3",20.0665992676959,NA,"Pinus taeda",4,NA
"FRSP","FRSP-060",2015,20150825,"Cycle3",7.28653911865234,NA,"Pinus",2,NA
"FRSP","FRSP-060",2015,20150825,"Cycle3",3.44018768882438,NA,"Quercus",3,NA
"FRSP","FRSP-060",2015,20150825,"Cycle3",13.2798331038933,NA,"Pinus",4,NA
"FRSP","FRSP-060",2015,20150825,"Cycle3",5.52997006995016,NA,"Unknown Hardwood",3,NA
"BOWA","BOWA-095",2008,20080818,"Cycle1",8.80095139875464,NA,"Pinus virginiana",2,NA
"BOWA","BOWA-095",2008,20080818,"Cycle1",33.245100777813,NA,"Pinus virginiana",3,NA
"BOWA","BOWA-095",2008,20080818,"Cycle1",13.2743102599833,NA,"Unknown species",3,NA
"PETE","PETE-301",2014,20140909,"Cycle2",28.1024709379603,NA,"Fraxinus",2,NA
"PETE","PETE-301",2014,20140909,"Cycle2",38.2575633596082,NA,"Unknown Hardwood",3,NA
"PETE","PETE-301",2014,20140909,"Cycle2",4.15076070729119,NA,"Quercus alba",2,NA
"PETE","PETE-301",2014,20140909,"Cycle2",30.2136640154962,NA,"Quercus alba",1,NA
"FRSP","FRSP-232",2017,20170821,"Cycle3",8.5449502559439,NA,"Pinus",2,NA
"FRSP","FRSP-232",2017,20170821,"Cycle3",3.31951310692924,NA,"Pinus",3,NA
"FRSP","FRSP-232",2017,20170821,"Cycle3",6.91969558852875,NA,"Pinus",4,NA
"COLO","COLO-371",2014,20140811,"Cycle1",46.53347219842,NA,"Unknown Hardwood",4,NA
"GETT","GETT-169",2013,20130730,"Cycle2",335.744506325007,NA,"Quercus velutina",2,NA
"GETT","GETT-169",2013,20130730,"Cycle2",3.03276436042252,NA,"Prunus avium",1,NA
"GETT","GETT-169",2013,20130730,"Cycle2",36.0805627057939,NA,"Unknown Hardwood",3,NA
"GETT","GETT-169",2013,20130730,"Cycle2",29.921336318285,NA,"Liriodendron tulipifera",1,NA
"APCO","APCO-177",2017,20170802,"Cycle3",3.6904776623623,NA,"Unknown Hardwood",3,NA
"THST","THST-293",2018,20180912,"Cycle3",8.12849231992784,NA,"Unknown Hardwood",3,NA
"COLO","COLO-371",2018,20180814,"Cycle2",14.060842504374,NA,"Unknown Hardwood",4,NA
"PETE","PETE-191",2017,20170814,"Cycle3",38.7707180812077,NA,"Quercus",3,NA
"PETE","PETE-191",2017,20170814,"Cycle3",29.9055749992216,NA,"Unknown Hardwood",4,NA
"PETE","PETE-191",2017,20170814,"Cycle3",8.88373992587058,NA,"Pinus",4,NA
"FRSP","FRSP-284",2014,20140821,"Cycle2",85.7835073546447,NA,"Unknown Hardwood",3,NA
"FRSP","FRSP-060",2007,20070912,"Cycle1",2.74155677808038,NA,"Unknown Conifer",3,NA
"FRSP","FRSP-060",2007,20070912,"Cycle1",2.74155677808038,NA,"Unknown Hardwood",3,NA
"FRSP","FRSP-060",2007,20070912,"Cycle1",4.63323095495584,NA,"Unknown Conifer",2,NA
"RICH","RICH-317",2018,20180904,"Cycle3",20.5825430161149,NA,"Pinus taeda",4,NA
"PETE","PETE-136",2012,20120910,"Cycle2",4.63325918235716,NA,"Unknown Hardwood",3,NA
"PETE","PETE-136",2012,20120910,"Cycle2",11.5214625525775,NA,"Pinus taeda",3,NA
"PETE","PETE-136",2012,20120910,"Cycle2",3.9532595652761,NA,"Unknown species",4,NA
"PETE","PETE-136",2012,20120910,"Cycle2",74.2023194455177,NA,"Pinus taeda",2,NA
"GETT","GETT-173",2013,20130731,"Cycle2",51.4893053856261,NA,"Quercus alba",2,NA
"GETT","GETT-173",2013,20130731,"Cycle2",75.7521425867962,NA,"Unknown Hardwood",3,NA
"COLO","COLO-345",2016,20160815,"Cycle2",6.17347613300826,NA,"Pinus",3,NA
"COLO","COLO-345",2016,20160815,"Cycle2",8.31804695769215,NA,"Pinus",5,NA
"COLO","COLO-345",2016,20160815,"Cycle2",4.63357676035101,NA,"Liriodendron tulipifera",4,NA
"COLO","COLO-345",2016,20160815,"Cycle2",29.87962448376,NA,"Liriodendron tulipifera",3,NA
"COLO","COLO-345",2016,20160815,"Cycle2",60.2452151867278,NA,"Pinus",4,NA
"VAFO","VAFO-036",2007,20070724,"Cycle1",16.9976520240983,NA,"Unknown Hardwood",4,NA
"FRSP","FRSP-220",2009,20090828,"Cycle1",5.00051566773669,NA,"Pinus",2,NA
"FRSP","FRSP-220",2009,20090828,"Cycle1",2.74170710763262,NA,"Unknown Hardwood",2,NA
"FRSP","FRSP-220",2009,20090828,"Cycle1",10.433174664784,NA,"Unknown species",3,NA
"PETE","PETE-137",2008,20080909,"Cycle1",160.732508777824,NA,"Pinus taeda",3,NA
"PETE","PETE-137",2008,20080909,"Cycle1",28.1765182400881,NA,"Pinus",3,NA
"PETE","PETE-137",2008,20080909,"Cycle1",52.0338918732008,NA,"Unknown Hardwood",2,NA
"PETE","PETE-137",2008,20080909,"Cycle1",75.2295855366373,NA,"Pinus taeda",2,NA
"PETE","PETE-308",2018,20180828,"Cycle3",127.70305424887,NA,"Unknown Hardwood",3,NA
"PETE","PETE-308",2018,20180828,"Cycle3",11.0816316551038,NA,"Unknown Hardwood",4,NA
"FRSP","FRSP-213",2009,20090824,"Cycle1",8.940647832849,NA,"Unknown Hardwood",2,NA
"FRSP","FRSP-213",2009,20090824,"Cycle1",26.2480651595894,NA,"Unknown Hardwood",3,NA
"APCO","APCO-265",2014,20140805,"Cycle2",3.68912870205181,NA,"Juniperus virginiana",4,NA
"FRSP","FRSP-315",2014,20140818,"Cycle2",21.5082502134919,NA,"Quercus",3,NA
"FRSP","FRSP-315",2014,20140818,"Cycle2",39.4064613382167,NA,"Quercus (Red group)",1,NA
"FRSP","FRSP-315",2014,20140818,"Cycle2",5.1494234724799,NA,"Unknown Conifer",4,NA
"FRSP","FRSP-315",2014,20140818,"Cycle2",13.3140247113484,NA,"Unknown Hardwood",3,NA
"RICH","RICH-303",2010,20100915,"Cycle1",14.653378554309,NA,"Quercus (Red group)",3,NA
"FRSP","FRSP-288",2018,20180911,"Cycle3",11.8675958595365,NA,"Unknown species",4,NA
"FRSP","FRSP-288",2018,20180911,"Cycle3",21.1995025519697,NA,"Unknown Conifer",4,NA
"FRSP","FRSP-288",2018,20180911,"Cycle3",6.67308234337687,NA,"Unknown Hardwood",3,NA
"FRSP","FRSP-288",2018,20180911,"Cycle3",77.0245245831099,NA,"Unknown Hardwood",4,NA
"PETE","PETE-024",2015,20150902,"Cycle3",6.64496074370698,NA,"Pinus taeda",2,NA
