"Event_ID","Plot_Name","Event_Year","Event_Date","Event_Date_Txt","Unit_Code","Unit_Group","Subunit_Code","Protocol_Name","Panel","Frame","Cycle","numHerbPlots","numSapPlots","numSeedPlots","excludeEvent","Stand_Structure_ID","Crown_Closure_ID","Deer_Browse_Line_ID","Groundstory_Cover_Class_Low","Groundstory_Cover_Class_Mid","Groundstory_Cover_Class_High","Forest_Floor_Bare_Soil_Cover_Class_ID","Forest_Floor_Rock_Cover_Class_ID","Forest_Floor_Trampled_Cover_Class_ID","Plot_Slope_Degree","Live_BA_m2ha","Dead_BA_m2ha"
"00635A35-7E12-4177-8D6C-7A1B6D79EB52","GETT-167","2017",2017-07-24,20170724,"GETT","GETT",NA,"2017","3","MIDN","3",12,3,12,0,3,5,4,4,4,4,1,2,1,10.8000001907349,23.54594275,0
"00A5A081-AB93-41E8-AC7A-B35D678CC32A","PETE-297","2010",2010-09-13,20100913,"PETE","PETE_EAST","EAST","2010","4","MIDN","1",12,3,12,0,3,4,3,2,2,4,1,1,1,6.55000019073486,36.258947,0.47172975
"00C5CF7D-EE85-4994-8DC7-8DDDFDE84B9F","FRSP-055","2011",2011-08-31,20110831,"FRSP","FRSP_CHWILD","CHWILD","2011","1","MIDN","2",12,3,12,0,3,3,4,4,3,4,1,1,1,3.5,23.5090485,9.89798025
"00DDD96E-953D-419C-A78D-3A9AC9E948DF","BOWA-094","2016",2016-08-09,20160809,"BOWA","BOWA",NA,"2016","2","MIDN","3",12,3,12,0,3,5,5,6,2,3,1,1,1,10.25,20.558484,2.7730835
"01B1E0AF-B69D-4D19-9ABF-72F68C8DE3C1","FRSP-127","2012",2012-08-29,20120829,"FRSP","FRSP_CHWILD","CHWILD","2012","2","MIDN","2",12,3,12,0,3,5,4,5,3,4,1,1,1,4.40000009536743,24.243297,0.412668
"01D6DF0A-3B3E-4EC7-B829-27C05E7E2D3C","PETE-065","2011",2011-08-16,20110816,"PETE","PETE_FIVE","FIVE","2011","1","MIDN","2",12,3,12,0,3,4,3,3,3,4,1,1,1,2.40000009536743,49.963595,1.22082275
"023B07B0-BF6C-4A18-A698-CADD1F748AE2","GETT-034","2011",2011-08-03,20110803,"GETT","GETT",NA,"2011","1","MIDN","2",12,3,12,0,3,4,3,6,5,4,1,1,1,2.40000009536743,19.09102675,0
"02A20A66-7832-4957-B4D4-A43CC07905AB","FRSP-235","2013",2013-08-20,20130820,"FRSP","FRSP_CHWILD","CHWILD","2013","3","MIDN","2",12,3,12,0,3,5,3,4,4,4,1,1,1,3.80000019073486,25.26209575,2.21853375
"0359CB14-912E-4110-9740-349A10355C46","BOWA-182","2017",2017-08-01,20170801,"BOWA","BOWA",NA,"2017","3","MIDN","3",12,3,12,0,3,5,5,3,2,3,1,1,1,13.8999996185303,39.44277425,0.20029625
"0386E054-B355-40C5-B1A4-1A45F8FBD82F","PETE-027","2019",2019-08-12,20190812,"PETE","PETE_EAST","EAST","2019","1","MIDN","4",12,3,12,0,3,5,5,3,2,3,1,1,1,2.79999995231628,40.19885725,7.30567575
