ParkCode,ShortName,LongName,Network,TPlotNum,TPlotSize,SapPlotNum,SapPlotSize,SeedPlotNum,SeedPlotSize,ShrubPlotNum,ShrubPlotSize,ShSeedPlotNum,ShSeedPlotSize,VPlotNum,VPlotSize,HPlotNum,HPlotSize
APCO,Appomattox Court House,Appomattox Court House National Historical Park,MIDN,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
BOWA,Booker T Washington,Booker T Washington National Monument,MIDN,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
COLO,Colonial,Colonial National Historical Park,NCBN,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
FRSP,Fredericksburg & Spotsylvania,Fredericksburg and Spotsylvania National Military Park,MIDN,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
GETT,Gettysburg,Gettysburg National Military Park,MIDN,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
GEWA,George Washington Birthplace,George Washington Birthplace National Monument,NCBN,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
HOFU,Hopewell Furnace,Hopewell Furnace National Historic Site,MIDN,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
PETE,Petersburg,Petersburg National Battlefield,MIDN,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
RICH,Richmond,Richmond National Battlefield Park,MIDN,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
SAHI,Sagamore Hill,Sagamore Hill National Historic Site,NCBN,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
THST,Thomas Stone,Thomas Stone National Historic Site,NCBN,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
VAFO,Valley Forge,Valley Forge National Historical Park,MIDN,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
