"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","Tag","TSN","TaxonCode","Latin_Name","StemsLive","StemsDead","SumLiveBasalArea_cm2","SumDeadBasalArea_cm2","Equiv_Live_DBH_cm","Equiv_Dead_DBH_cm","Status","Habit","Browsed","Browsable"
"VAFO-079","VAFO","VAFO",NA,"1",2,"MIDN","2008",20080806,4907,-9999999950,NA,"Unknown species",1,0,11.9459,NA,3.9,NA,"Alive Standing","Tree",NA,NA
"PETE-194","PETE","PETE_FIVE","FIVE","1",3,"MIDN","2009",20090819,7159,-9999999950,NA,"Unknown species",1,0,2.0106,NA,1.6,NA,"Alive Standing","Tree",NA,NA
"VAFO-079","VAFO","VAFO",NA,"1",2,"MIDN","2008",20080806,4906,-9999999950,NA,"Unknown species",1,0,8.0425,NA,3.2,NA,"Alive Standing","Tree",NA,NA
"VAFO-079","VAFO","VAFO",NA,"2",2,"MIDN","2012",20120730,4907,-9999999950,NA,"Unknown species",1,0,5.3093,NA,2.6,NA,"Alive Standing","Tree",NA,NA
"APCO-267","APCO","APCO",NA,"3",4,"MIDN","2018",20180807,16834,-9999999948,NA,"Quercus (White group)",1,0,7.0686,NA,3,NA,"Alive Missed","Tree",NA,NA
"APCO-262","APCO","APCO",NA,"2",4,"MIDN","2014",20140805,9193,-9999999947,NA,"Quercus (Red group)",1,0,9.6211,NA,3.5,NA,"Alive Standing","Tree",NA,NA
"GETT-255","GETT","GETT",NA,"3",4,"MIDN","2018",20180731,16817,-9999999947,NA,"Quercus (Red group)",1,0,6.1575,NA,2.8,NA,"Alive Missed","Tree",NA,NA
"BOWA-095","BOWA","BOWA",NA,"1",2,"MIDN","2008",20080818,3082,-9999999947,NA,"Quercus (Red group)",1,0,35.2565,NA,6.7,NA,"Alive Standing","Tree",NA,NA
"APCO-262","APCO","APCO",NA,"1",4,"MIDN","2010",20100817,9193,-9999999947,NA,"Quercus (Red group)",1,0,8.0425,NA,3.2,NA,"Alive Standing","Tree",NA,NA
"GETT-032","GETT","GETT",NA,NA,1,"MIDN","2019",20190723,17016,-9999999947,NA,"Quercus (Red group)",1,0,1.7671,NA,1.5,NA,"Recruit Standing","Tree",NA,NA
"APCO-262","APCO","APCO",NA,"3",4,"MIDN","2018",20180807,9193,-9999999947,NA,"Quercus (Red group)",1,0,9.6211,NA,3.5,NA,"Alive Standing","Tree",NA,NA
"GETT-255","GETT","GETT",NA,"3",4,"MIDN","2018",20180731,16816,-9999999947,NA,"Quercus (Red group)",1,0,1.7671,NA,1.5,NA,"Recruit Standing","Tree",NA,NA
"APCO-101","APCO","APCO",NA,"2",2,"MIDN","2012",20120815,12971,-9999999947,NA,"Quercus (Red group)",1,0,0.9503,NA,1.1,NA,"Recruit Standing","Tree",NA,NA
"BOWA-095","BOWA","BOWA",NA,"3",2,"MIDN","2016",20160809,3082,-9999999947,NA,"Quercus (Red group)",1,0,38.4845,NA,7,NA,"Alive Standing","Tree",NA,NA
"BOWA-095","BOWA","BOWA",NA,"2",2,"MIDN","2012",20120813,3082,-9999999947,NA,"Quercus (Red group)",1,0,37.3928,NA,6.9,NA,"Alive Standing","Tree",NA,NA
"COLO-361","COLO","COLO_YORK","Yorktown","2",3,"MIDN","2017",20170807,13580,-9999999943,NA,"Unknown Conifer",1,0,3.1416,NA,2,NA,"Alive Standing","Tree",NA,NA
"COLO-361","COLO","COLO_YORK","Yorktown","1",3,"MIDN","2013",20130812,13580,-9999999943,NA,"Unknown Conifer",1,0,2.2698,NA,1.7,NA,"Alive Standing","Tree",NA,NA
"COLO-375","COLO","COLO_JAMES","Jamestown","2",4,"MIDN","2018",20180813,14752,18037,NA,"Pinus taeda",1,0,4.9087,NA,2.5,NA,"Alive Standing","Tree",NA,NA
"PETE-025","PETE","PETE_EAST","EAST","3",1,"MIDN","2015",20150902,978,18037,NA,"Pinus taeda",1,0,58.088,NA,8.6,NA,"Alive Standing","Tree",NA,NA
"COLO-336","COLO","COLO_JAMES","Jamestown","1",1,"MIDN","2011",20110913,12171,18037,NA,"Pinus taeda",1,0,62.2114,NA,8.9,NA,"Alive Standing","Tree",NA,NA
"COLO-355","COLO","COLO_JAMES","Jamestown","1",2,"MIDN","2012",20120822,12887,18037,NA,"Pinus taeda",1,0,2.5447,NA,1.8,NA,"Alive Standing","Tree",NA,NA
"COLO-374","COLO","COLO_JAMES","Jamestown","1",4,"MIDN","2014",20140812,14642,18037,NA,"Pinus taeda",1,0,3.1416,NA,2,NA,"Alive Standing","Tree",NA,NA
"COLO-364","COLO","COLO_JAMES","Jamestown","2",3,"MIDN","2017",20170809,15430,18037,NA,"Pinus taeda",1,0,21.2372,NA,5.2,NA,"Alive Standing","Tree",NA,NA
"COLO-364","COLO","COLO_JAMES","Jamestown","2",3,"MIDN","2017",20170809,15427,18037,NA,"Pinus taeda",1,0,54.1061,NA,8.3,NA,"Alive Standing","Tree",NA,NA
"COLO-355","COLO","COLO_JAMES","Jamestown","1",2,"MIDN","2012",20120822,12886,18037,NA,"Pinus taeda",1,0,2.8353,NA,1.9,NA,"Alive Standing","Tree",NA,NA
"COLO-375","COLO","COLO_JAMES","Jamestown","1",4,"MIDN","2014",20140812,14750,18037,NA,"Pinus taeda",1,0,1.7671,NA,1.5,NA,"Alive Standing","Tree",NA,NA
"COLO-374","COLO","COLO_JAMES","Jamestown","1",4,"MIDN","2014",20140812,14643,18037,NA,"Pinus taeda",1,0,6.1575,NA,2.8,NA,"Alive Standing","Tree",NA,NA
"COLO-364","COLO","COLO_JAMES","Jamestown","1",3,"MIDN","2013",20130813,15432,18037,NA,"Pinus taeda",1,0,56.745,NA,8.5,NA,"Alive Standing","Tree",NA,NA
"COLO-374","COLO","COLO_JAMES","Jamestown","1",4,"MIDN","2014",20140812,14646,18037,NA,"Pinus taeda",1,0,2.2698,NA,1.7,NA,"Alive Standing","Tree",NA,NA
"COLO-336","COLO","COLO_JAMES","Jamestown","1",1,"MIDN","2011",20110913,13184,18037,NA,"Pinus taeda",1,0,2.2698,NA,1.7,NA,"Alive Standing","Tree",NA,NA
"PETE-025","PETE","PETE_EAST","EAST","2",1,"MIDN","2011",20110818,983,18037,NA,"Pinus taeda",1,0,31.1725,NA,6.3,NA,"Alive Standing","Tree",NA,NA
"COLO-336","COLO","COLO_JAMES","Jamestown","1",1,"MIDN","2011",20110913,12131,18037,NA,"Pinus taeda",1,0,1.7671,NA,1.5,NA,"Alive Standing","Tree",NA,NA
"PETE-172","PETE","PETE_FIVE","FIVE","1",3,"MIDN","2009",20090813,7481,18037,NA,"Pinus taeda",1,0,15.9043,NA,4.5,NA,"Alive Standing","Tree",NA,NA
