"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","Quadrat_Number","Latin_Name","TaxonCode","TSN","Height","Browsable","Browsed"
"PETE-111","PETE","PETE_FIVE","FIVE","1",2,"MIDN","2008",20080822,"AA","Unknown species",NA,-9999999950,22.5,NA,NA
"PETE-111","PETE","PETE_FIVE","FIVE","1",2,"MIDN","2008",20080822,"AA","Unknown species",NA,-9999999950,22.5,NA,NA
"PETE-111","PETE","PETE_FIVE","FIVE","1",2,"MIDN","2008",20080822,"AA","Unknown species",NA,-9999999950,22.5,NA,NA
"FRSP-150","FRSP","FRSP_CHWILD","CHWILD","1",2,"MIDN","2008",20080916,"B5","Unknown species",NA,-9999999950,22.5,NA,NA
"FRSP-150","FRSP","FRSP_CHWILD","CHWILD","1",2,"MIDN","2008",20080916,"B5","Unknown species",NA,-9999999950,22.5,NA,NA
"APCO-184","APCO","APCO",NA,"1",3,"MIDN","2009",20090812,"A2","Unknown species",NA,-9999999950,22.5,NA,NA
"RICH-207","RICH","RICH",NA,"1",3,"MIDN","2009",20090903,"B5","Unknown species",NA,-9999999950,22.5,NA,NA
"RICH-207","RICH","RICH",NA,"1",3,"MIDN","2009",20090903,"B5","Unknown species",NA,-9999999950,22.5,NA,NA
"RICH-207","RICH","RICH",NA,"1",3,"MIDN","2009",20090903,"B5","Unknown species",NA,-9999999950,22.5,NA,NA
"RICH-207","RICH","RICH",NA,"1",3,"MIDN","2009",20090903,"B5","Unknown species",NA,-9999999950,22.5,NA,NA
"BOWA-006","BOWA","BOWA",NA,"2",1,"MIDN","2011",20110809,"B8","Unknown species",NA,-9999999950,22.5,NA,NA
"FRSP-213","FRSP","FRSP_FRED","FRED","2",3,"MIDN","2013",20130819,"C5","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"C2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
"FRSP-056","FRSP","FRSP_SPOT","SPOT","3",1,"MIDN","2015",20150825,"C2","Quercus (White group)",NA,-9999999948,22.5,NA,NA
