"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Sample_Year","Date","Tag","TSN","TaxonCode","Latin_Name","Stems","SumLiveBasalArea_cm2","Equiv_Live_DBH_cm","SumDeadBasalArea_cm2","Equiv_Dead_DBH_cm","Condition","Status","Crown_Class","Crown_Description","DBH_Status"
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",96,18086,NA,"Liriodendron tulipifera",1,188.6919,15.5,0,0,NA,"Alive Standing",3,"Co-dominant",0
"APCO-004","APCO","APCO",NA,"2",1,2011,"20110810",96,18086,NA,"Liriodendron tulipifera",1,229.6583,17.1,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,"3",1,2015,"20150804",96,18086,NA,"Liriodendron tulipifera",1,265.9044,18.4,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,NA,1,2019,"20190731",96,18086,NA,"Liriodendron tulipifera",1,295.5925,19.4,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",99,19247,NA,"Carya tomentosa",1,646.9246,28.7,0,0,NA,"Alive Standing",3,"Co-dominant",0
"APCO-004","APCO","APCO",NA,"2",1,2011,"20110810",99,19247,NA,"Carya tomentosa",1,665.083,29.1,0,0,NA,"Alive Standing",3,"Co-dominant",1
"APCO-004","APCO","APCO",NA,"3",1,2015,"20150804",99,19247,NA,"Carya tomentosa",1,692.7919,29.7,0,0,NA,"Alive Standing",3,"Co-dominant",1
"APCO-004","APCO","APCO",NA,NA,1,2019,"20190731",99,19247,NA,"Carya tomentosa",1,716.3145,30.2,0,0,NA,"Alive Standing",3,"Co-dominant",1
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",100,28728,NA,"Acer rubrum",1,232.3522,17.2,0,0,NA,"Alive Standing",3,"Co-dominant",0
"APCO-004","APCO","APCO",NA,"2",1,2011,"20110810",100,28728,NA,"Acer rubrum",1,298.6477,19.5,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,"3",1,2015,"20150804",100,28728,NA,"Acer rubrum",1,366.4354,21.6,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,NA,1,2019,"20190731",100,28728,NA,"Acer rubrum",1,433.7361,23.5,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",104,-9999999944,NA,"Unknown Hardwood",1,0,0,174.3662,14.9,NA,"Dead Standing",NA,NA,0
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",115,19379,NA,"Quercus montana",1,213.8246,16.5,0,0,NA,"Alive Standing",3,"Co-dominant",0
"APCO-004","APCO","APCO",NA,"2",1,2011,"20110810",115,19379,NA,"Quercus montana",1,260.1553,18.2,0,0,NA,"Alive Standing",3,"Co-dominant",1
"APCO-004","APCO","APCO",NA,"3",1,2015,"20150804",115,19379,NA,"Quercus montana",1,304.8052,19.7,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,NA,1,2019,"20190731",115,19379,NA,"Quercus montana",1,346.3606,21,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",116,19379,NA,"Quercus montana",1,268.8025,18.5,0,0,NA,"Alive Standing",3,"Co-dominant",0
"APCO-004","APCO","APCO",NA,"2",1,2011,"20110810",116,19379,NA,"Quercus montana",1,323.6547,20.3,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,"3",1,2015,"20150804",116,19379,NA,"Quercus montana",1,387.0756,22.2,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,NA,1,2019,"20190731",116,19379,NA,"Quercus montana",1,463.7698,24.3,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",117,27821,NA,"Nyssa sylvatica",1,96.7689,11.1,0,0,NA,"Alive Standing",5,"Sub-Canopy",0
"APCO-004","APCO","APCO",NA,"2",1,2011,"20110810",117,27821,NA,"Nyssa sylvatica",1,95.0332,11,0,0,NA,"Alive Standing",5,"Sub-Canopy",1
"APCO-004","APCO","APCO",NA,"3",1,2015,"20150804",117,27821,NA,"Nyssa sylvatica",1,96.7689,11.1,0,0,NA,"Alive Standing",5,"Sub-Canopy",1
"APCO-004","APCO","APCO",NA,NA,1,2019,"20190731",117,27821,NA,"Nyssa sylvatica",1,93.3132,10.9,0,0,NA,"Alive Standing",5,"Sub-Canopy",1
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",119,19290,NA,"Quercus alba",1,373.2526,21.8,0,0,NA,"Alive Standing",3,"Co-dominant",0
"APCO-004","APCO","APCO",NA,"2",1,2011,"20110810",119,19290,NA,"Quercus alba",1,401.15,22.6,0,0,NA,"Alive Standing",3,"Co-dominant",1
"APCO-004","APCO","APCO",NA,"3",1,2015,"20150804",119,19290,NA,"Quercus alba",1,433.7361,23.5,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,NA,1,2019,"20190731",119,19290,NA,"Quercus alba",1,441.1503,23.7,0,0,NA,"Alive Standing",4,"Intermediate",1
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",121,-9999999944,NA,"Unknown Hardwood",1,0,0,697.465,29.8,NA,"Dead Standing",NA,NA,0
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",122,27821,NA,"Nyssa sylvatica",1,114.9901,12.1,0,0,NA,"Alive Standing",5,"Sub-Canopy",0
"APCO-004","APCO","APCO",NA,"2",1,2011,"20110810",122,27821,NA,"Nyssa sylvatica",1,113.0973,12,0,0,NA,"Alive Standing",5,"Sub-Canopy",1
"APCO-004","APCO","APCO",NA,"3",1,2015,"20150804",122,27821,NA,"Nyssa sylvatica",1,111.2202,11.9,0,0,NA,"Alive Broken",5,"Sub-Canopy",1
"APCO-004","APCO","APCO",NA,NA,1,2019,"20190731",122,27821,NA,"Nyssa sylvatica",1,111.2202,11.9,0,0,NA,"Alive Broken",5,"Sub-Canopy",1
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",123,19290,NA,"Quercus alba",1,336.5353,20.7,0,0,NA,"Alive Standing",3,"Co-dominant",0
"APCO-004","APCO","APCO",NA,"2",1,2011,"20110810",123,19290,NA,"Quercus alba",1,363.0503,21.5,0,0,NA,"Alive Standing",3,"Co-dominant",1
"APCO-004","APCO","APCO",NA,"3",1,2015,"20150804",123,19290,NA,"Quercus alba",1,394.0814,22.4,0,0,NA,"Alive Standing",3,"Co-dominant",1
"APCO-004","APCO","APCO",NA,NA,1,2019,"20190731",123,19290,NA,"Quercus alba",1,419.0963,23.1,0,0,NA,"Alive Standing",3,"Co-dominant",1
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",124,27821,NA,"Nyssa sylvatica",1,96.7689,11.1,0,0,NA,"Alive Standing",5,"Sub-Canopy",0
"APCO-004","APCO","APCO",NA,"2",1,2011,"20110810",124,27821,NA,"Nyssa sylvatica",1,96.7689,11.1,0,0,NA,"Alive Standing",5,"Sub-Canopy",1
"APCO-004","APCO","APCO",NA,"3",1,2015,"20150804",124,27821,NA,"Nyssa sylvatica",1,100.2875,11.3,0,0,NA,"Alive Standing",5,"Sub-Canopy",1
"APCO-004","APCO","APCO",NA,NA,1,2019,"20190731",124,27821,NA,"Nyssa sylvatica",1,100.2875,11.3,0,0,NA,"Alive Standing",5,"Sub-Canopy",1
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",125,27821,NA,"Nyssa sylvatica",1,80.1185,10.1,0,0,NA,"Alive Standing",5,"Sub-Canopy",0
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",157,19422,NA,"Quercus stellata",1,897.2703,33.8,0,0,NA,"Alive Standing",2,"Dominant",0
"APCO-004","APCO","APCO",NA,"2",1,2011,"20110810",157,19422,NA,"Quercus stellata",1,891.9688,33.7,0,0,NA,"Alive Standing",3,"Co-dominant",1
"APCO-004","APCO","APCO",NA,"3",1,2015,"20150804",157,19422,NA,"Quercus stellata",1,913.2688,34.1,0,0,NA,"Alive Standing",3,"Co-dominant",1
"APCO-004","APCO","APCO",NA,NA,1,2019,"20190731",157,19422,NA,"Quercus stellata",1,918.6331,34.2,0,0,NA,"Alive Standing",3,"Co-dominant",1
"APCO-004","APCO","APCO",NA,"1",1,2007,"20070521",158,28728,NA,"Acer rubrum",1,81.7128,10.2,0,0,NA,"Alive Standing",5,"Sub-Canopy",0
