"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","TaxonCode","Latin_Name","Host_Tree_Tag","Host_TSN","Host_Latin_Name","Host_Status","Condition","Exotic"
"APCO-012","APCO","APCO",NA,"1",1,"MIDN",2007,"20070524",NA,"Unknown species",515,18086,"Liriodendron tulipifera","Alive Standing","Vines in the crown",0
"GETT-093","GETT","GETT",NA,"1",2,"MIDN",2008,"20080813",NA,"Unknown species",15881,19242,"Carya ovata","Alive Standing","Vines in the crown",0
"APCO-100","APCO","APCO",NA,"1",2,"MIDN",2008,"20080818",NA,"Unknown species",12954,19254,"Juglans nigra","Alive Standing","Vines in the crown",0
"GETT-090","GETT","GETT",NA,"2",2,"MIDN",2012,"20120806",NA,"Unknown species",3109,19066,"Morus alba","Alive Standing","Vines in the crown",1
"APCO-100","APCO","APCO",NA,"1",2,"MIDN",2008,"20080818",NA,"Unknown species",2883,23855,"Diospyros virginiana","Alive Standing","Vines in the crown",0
"GETT-087","GETT","GETT",NA,"1",2,"MIDN",2008,"20080811",NA,"Unknown species",13009,32931,"Fraxinus americana","Alive Standing","Vines in the crown",0
"VAFO-080","VAFO","VAFO",NA,"1",2,"MIDN",2008,"20080806",NA,"Unknown species",4947,18086,"Liriodendron tulipifera","Alive Standing","Vines in the crown",0
"FRSP-013","FRSP","FRSP_FRED","FRED","1",1,"MIDN",2007,"20070605",NA,"Unknown species",598,19027,"Liquidambar styraciflua","Alive Standing","Vines in the crown",0
"APCO-010","APCO","APCO",NA,"1",1,"MIDN",2007,"20070523",NA,"Unknown species",361,28728,"Acer rubrum","Alive Standing","Vines in the crown",0
"APCO-100","APCO","APCO",NA,"1",2,"MIDN",2008,"20080818",NA,"Unknown species",2890,23855,"Diospyros virginiana","Alive Standing","Vines in the crown",0
"GETT-087","GETT","GETT",NA,"1",2,"MIDN",2008,"20080811",NA,"Unknown species",13007,19300,"Quercus bicolor","Alive Standing","Vines in the crown",0
"GETT-089","GETT","GETT",NA,"1",2,"MIDN",2008,"20080812",NA,"Unknown species",2979,19408,"Quercus rubra","Alive Standing","Vines in the crown",0
