"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","Transect_Azimuth","TSN","Decay_Class","Diameter","Hollow","CWD_Notes","Latin_Name"
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,20160620,"240",28827,"5",13.00,0,,"Ailanthus altissima"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"240",28827,"2",22.00,0,,"Ailanthus altissima"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"240",28827,"2",14.00,0,,"Ailanthus altissima"
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,20160620,"240",28827,"3",20.00,0,,"Ailanthus altissima"
"ANTI-0052","ANTI","ANTI","na",2.00,1,"Park",2010,20100819,"120",19049,"2",9.00,0,,"Ulmus americana"
"ANTI-0052","ANTI","ANTI","na",4.00,1,"Park",2018,20180619,"360",24764,"3",12.00,0,,"Prunus serotina"
"ANTI-0052","ANTI","ANTI","na",4.00,1,"Park",2018,20180619,"120",504804,"3",10.00,0,,"Robinia pseudoacacia"
"ANTI-0052","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"120",999999,"4",11.00,0,,"Unknown"
"ANTI-0052","ANTI","ANTI","na",2.00,1,"Park",2010,20100819,"120",999999,"3",14.00,0,,"Unknown"
"ANTI-0052","ANTI","ANTI","na",4.00,1,"Park",2018,20180619,"120",504804,"3",14.00,0,,"Robinia pseudoacacia"
"ANTI-0052","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"360",32928,"2",12.50,0,,"Fraxinus spp."
"ANTI-0052","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"120",19276,"3",12.50,0,,"Quercus spp."
"ANTI-0052","ANTI","ANTI","na",4.00,1,"Park",2018,20180619,"120",28749,"2",12.00,0,,"Acer negundo"
"ANTI-0052","ANTI","ANTI","na",2.00,1,"Park",2010,20100819,"120",504714,"3",15.00,0,,"Quercus muehlenbergii"
"ANTI-0052","ANTI","ANTI","na",4.00,1,"Park",2018,20180619,"120",32928,"2",13.00,0,,"Fraxinus spp."
"ANTI-0052","ANTI","ANTI","na",4.00,1,"Park",2018,20180619,"240",999999,"3",25.00,0,,"Unknown"
"ANTI-0052","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"120",19276,"3",12.00,0,,"Quercus spp."
"ANTI-0052","ANTI","ANTI","na",2.00,1,"Park",2010,20100819,"240",18048,"2",12.00,0,,"Juniperus virginiana"
"ANTI-0052","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"120",19276,"3",16.00,0,,"Quercus spp."
"ANTI-0052","ANTI","ANTI","na",4.00,1,"Park",2018,20180619,"360",32928,"2",12.50,0,,"Fraxinus spp."
"ANTI-0052","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"240",19276,"3",27.00,0,,"Quercus spp."
