Latin_Name,NCRN_Common,Common,Family,Genus,Species,TSN,Favorite,Woody,Herbaceous,Targeted_Herb,Tree,Shrub,Vine,Exotic
Abies balsamea,balsam fir,balsam fir,Pinaceae,Abies,balsamea,18032,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Abies fraseri,Fraser fir,"Fraser fir, balsam fir, eastern fir, fraser balsam fir, southern balsam, southern fir",Pinaceae,Abies,fraseri,181829,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Abutilon theophrasti,velvetleaf,"Indian mallow, butterprint, buttonweed, velvetleaf, velvetleaf (or butterprint), velvetleaf Indian mallow",Malvaceae,Abutilon,theophrasti,21674,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Acalypha gracilens,,"slender copperleaf, slender threeseed mercury",Euphorbiaceae,Acalypha,gracilens,28183,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acalypha rhomboidea,common threeseed mercury,Virginia threeseed mercury,Euphorbiaceae,Acalypha,rhomboidea,28193,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acalypha virginica,Virginia threeseed mercury,"Virginia copperleaf, Virginia threeseed mercury, mercuryweed, threeseeded mercury, wax balls",Euphorbiaceae,Acalypha,virginica,28195,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acanthospermum australe,,Paraguayan starburr,Asteraceae,Acanthospermum,australe,36445,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Acer leucoderme,,"chalk maple, white-bark maple",Aceraceae,Acer,leucoderme,28761,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer negundo,box elder,"ashleaf maple, box elder, boxelder, boxelder maple, california boxelder, manitoba maple, western boxelder",Aceraceae,Acer,negundo,28749,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer nigrum,black maple,"black maple, black sugar maple, hard maple, rock maple, sugar maple",Aceraceae,Acer,nigrum,182135,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer palmatum,,Japanese maple,Aceraceae,Acer,palmatum,182136,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Acer pensylvanicum,striped maple,"moosewood, striped maple",Aceraceae,Acer,pensylvanicum,28754,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer platanoides,Norway maple,Norway maple,Aceraceae,Acer,platanoides,28755,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Acer pseudoplatanus,,"sycamore, sycamore maple",Aceraceae,Acer,pseudoplatanus,28756,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Acer rubrum,red maple,red maple,Aceraceae,Acer,rubrum,28728,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer saccharinum,silver maple,silver maple,Aceraceae,Acer,saccharinum,28757,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer saccharum,sugar maple,sugar maple,Aceraceae,Acer,saccharum,28731,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer spicatum,mountain maple,"moose maple, mountain maple",Aceraceae,Acer,spicatum,28758,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Acer spp.,,"maple, maples",Aceraceae,Acer,,28727,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Achillea millefolium,common yarrow,"bloodwort, carpenter's weed, common yarrow, milfoil, plumajillo, western yarrow, yarrow (common)",Asteraceae,Achillea,millefolium,35423,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Acinos arvensis,,basil thyme,Lamiaceae,Acinos,arvensis,184862,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Aconitum reclinatum,,trailing white monkshood,Ranunculaceae,Aconitum,reclinatum,18420,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Aconitum uncinatum,,southern blue monkshood,Ranunculaceae,Aconitum,uncinatum,18421,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acorus americanus,,sweetflag,Acoraceae,Acorus,americanus,182561,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acorus calamus,calamus,"calamus, sweetflag",Acoraceae,Acorus,calamus,564989,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Acorus calamus,,,Acoraceae,Acorus,calamus,42523,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Actaea pachypoda,,"baneberry, white baneberry",Ranunculaceae,Actaea,pachypoda,18722,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Actinomeris alternifolia,,,Asteraceae,Actinomeris,alternifolia,508357,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Adiantum pedatum,northern maidenhair,"maidenfern, maidenhair, maidenhair fern, northern maidenhair",Pteridaceae,Adiantum,pedatum,17311,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
