Plot_Name,Event_Date,Event_Date_Txt,Event_Year,Unit_Code,Unit_Group,Subunit_Code,Protocol_Name,Panel,Frame,Cycle,Event_ID,numSeedPlots
ANTI-0025,7/19/2010 13:22,20100719,2010,ANTI,ANTI,na,2.0.1,1,Park,2,{7A2453B5-B719-41D4-8AF4-EB31F12DF43E},12
ANTI-0025,7/8/2014 0:00,20140708,2014,ANTI,ANTI,na,2.1,1,Park,3,{6F09EE99-0177-4F3D-9F81-A875214BBAE1},12
ANTI-0025,8/3/2018 0:00,20180803,2018,ANTI,ANTI,na,2.3,1,Park,4,{87E560DC-0F3E-4E83-8952-B6FB35DF6A64},12
ANTI-0036,9/11/2012 0:00,20120911,2012,ANTI,ANTI,na,2.0.1,3,Park,2,{AEA39DB1-840B-4345-975E-2C6757A4C941},12
ANTI-0036,6/20/2016 0:00,20160620,2016,ANTI,ANTI,na,2.2,3,Park,3,{36E9ED9C-0E7F-4F40-B190-FD1BF91E8CEE},12
ANTI-0045,7/25/2017 0:00,20170725,2017,ANTI,ANTI,na,2.3,4,Park,3,{5DD03496-502A-462F-AF9C-34C036D06379},12
ANTI-0052,6/19/2018 0:00,20180619,2018,ANTI,ANTI,na,2.3,1,Park,4,{DAE1D23F-5C31-43F1-8C88-52D2FE75772F},12
ANTI-0052,7/8/2014 0:00,20140708,2014,ANTI,ANTI,na,2.1,1,Park,3,{35FBAFC3-15CA-448F-8AC4-634C2D055B5F},12
ANTI-0052,8/19/2010 10:16,20100819,2010,ANTI,ANTI,na,2.0.1,1,Park,2,{7C5E7E20-7B6E-407A-97C0-EC554078A363},12
ANTI-0072,7/31/2006 0:00,20060731,2006,ANTI,ANTI,na,1,1,Region,1,{DA1ABC66-6023-44DA-963C-75E20CD8CAC4},12
ANTI-0072,7/16/2014 0:00,20140716,2014,ANTI,ANTI,na,2.1,1,Region,3,{535A08DF-190A-4B55-9749-DB794797F034},12
ANTI-0072,6/27/2018 0:00,20180627,2018,ANTI,ANTI,na,2.3,1,Region,4,{271DCEB3-E9AF-44EB-A779-C2008ECDE4C4},12
ANTI-0072,7/22/2010 13:55,20100722,2010,ANTI,ANTI,na,2.0.1,1,Region,2,{CA03439F-0AEF-405B-B581-78B061E05DFB},12
ANTI-0082,9/25/2012 0:00,20120925,2012,ANTI,ANTI,na,2.0.1,3,Park,2,{E459984B-408E-4CC5-AAC6-E2AB56A28CEC},12
ANTI-0082,7/12/2016 0:00,20160712,2016,ANTI,ANTI,na,2.2,3,Park,3,{6F2D0B32-A210-4C42-8D1B-2948CD226508},12
ANTI-0092,7/7/2011 9:40,20110707,2011,ANTI,ANTI,na,2.0.1,2,Region,2,{1AABC59B-07AE-493E-AF00-1A50A28A8D73},12
ANTI-0092,6/25/2015 0:00,20150625,2015,ANTI,ANTI,na,2.2,2,Region,3,{C1C1FD3D-EC6F-4DE8-A53A-E7706B2F4032},12
ANTI-0092,6/3/2019 10:30,20190603,2019,ANTI,ANTI,na,,2,Region,4,20190430134123-533424019.813538,12
ANTI-0092,7/6/2007 10:34,20070706,2007,ANTI,ANTI,na,1,2,Region,1,{F32B2A63-2ABA-4F2C-8318-4C2915D85F46},12
ANTI-0190,9/22/2011 10:06,20110922,2011,ANTI,ANTI,na,2.0.1,2,Region,2,{2E8580C1-35FE-4B8E-B994-5BD1B615B9BF},12
ANTI-0190,7/1/2015 0:00,20150701,2015,ANTI,ANTI,na,2.2,2,Region,3,{76636FB6-C229-41E8-924F-5325CB032D53},12
ANTI-0190,5/29/2019 9:17,20190529,2019,ANTI,ANTI,na,,2,Region,4,20190430135444-774740099.906921,12
ANTI-0190,7/16/2007 11:04,20070716,2007,ANTI,ANTI,na,1,2,Region,1,{EA2A4B54-719E-4FDA-AF71-15B74FDAAA0D},12
ANTI-0194,9/11/2012 0:00,20120911,2012,ANTI,ANTI,na,2.0.1,3,Park,2,{FDE39BB0-9F06-410F-9914-7BDBC1519292},12
ANTI-0194,7/12/2016 0:00,20160712,2016,ANTI,ANTI,na,2.2,3,Park,3,{0C4EE15A-5541-4F6E-B22B-B43B4F791798},12
ANTI-0200,7/30/2013 0:00,20130730,2013,ANTI,ANTI,na,2.0.1,4,Park,2,{D01DFC42-9157-459C-BBC6-468FB654AA67},12
ANTI-0200,6/16/2017 0:00,20170616,2017,ANTI,ANTI,na,2.3,4,Park,3,{DB859359-95F5-4477-9048-AD59B0C84921},12
ANTI-0201,7/19/2010 9:52,20100719,2010,ANTI,ANTI,na,2.0.1,1,Park,2,{CE579BD6-4E8D-4907-BE9C-11E35CEA21DC},12
ANTI-0201,7/16/2014 0:00,20140716,2014,ANTI,ANTI,na,2.1,1,Park,3,{3DEABA2B-056C-496E-B6B5-71F04FBF50E4},12
ANTI-0201,6/27/2018 0:00,20180627,2018,ANTI,ANTI,na,2.3,1,Park,4,{99B92197-5DB6-4519-9E2A-E7C5DA80029A},12
ANTI-0206,8/15/2013 0:00,20130815,2013,ANTI,ANTI,na,2.0.1,4,Park,2,{23CB81A5-A44C-4E00-9AD7-D2E081B8D353},12
ANTI-0206,7/5/2017 0:00,20170705,2017,ANTI,ANTI,na,2.3,4,Park,3,{0E896EB2-87BB-4BEE-9DCC-511E1361FD38},12
ANTI-0207,7/23/2015 0:00,20150723,2015,ANTI,ANTI,na,2.2,2,Region,3,{C89A8D47-5348-4022-99BD-3594AAD9DE5A},12
ANTI-0207,7/31/2007 10:07,20070731,2007,ANTI,ANTI,na,1,2,Region,1,{602B1F9F-868E-4BD0-BFD9-F1E8F1E3E80D},12
ANTI-0207,5/29/2019 12:28,20190529,2019,ANTI,ANTI,na,,2,Region,4,20190430142237-533424019.813538,12
ANTI-0207,9/12/2011 9:43,20110912,2011,ANTI,ANTI,na,2.0.1,2,Region,2,{4DD1B1F7-4E60-45EC-9265-D3DE24A108E3},12
CATO-0003,9/4/2007 14:28,20070904,2007,CATO,CATO,na,1,2,Region,1,{37E93087-8C51-4FE6-A735-FAACC374FB5C},12
CATO-0003,8/4/2015 0:00,20150804,2015,CATO,CATO,na,2.2,2,Region,3,{545B6995-DEE0-4D5A-BD21-6AD63DD20432},12
CATO-0003,9/5/2019 0:00,20190905,2019,CATO,CATO,na,,2,Region,4,20190905104943-406421303.749084,12
CATO-0003,8/15/2011 10:00,20110815,2011,CATO,CATO,na,2.0.1,2,Region,2,{FD95DC8D-BEB8-4652-A395-DF11BCDE6831},12
CATO-0004,8/8/2019 0:00,20190808,2019,CATO,CATO,na,,2,Region,4,20190808105910-890455424.785614,12
CATO-0004,8/3/2015 0:00,20150803,2015,CATO,CATO,na,2.2,2,Region,3,{11A40E75-6020-4DB4-8168-9862FBF6836F},12
CATO-0004,9/4/2007 10:54,20070904,2007,CATO,CATO,na,1,2,Region,1,{C730C9A4-908A-4C52-A17E-323D443BE6BE},12
CATO-0004,8/15/2011 12:37,20110815,2011,CATO,CATO,na,2.0.1,2,Region,2,{0B1B88E2-6EBF-4B01-930A-5B24643E9E20},12
CATO-0015,7/19/2017 0:00,20170719,2017,CATO,CATO,na,2.3,4,Region,3,{26495575-6B4D-474B-B9DC-35621DB24786},12
CATO-0015,7/19/2013 0:00,20130719,2013,CATO,CATO,na,2.0.1,4,Region,2,{4EE4EA68-0261-4FE0-9174-BCF5BD83A1CA},12
CATO-0015,9/17/2009 10:24,20090917,2009,CATO,CATO,na,2,4,Region,1,{E8A61D5C-E30B-46C5-B679-94843A33518B},12
CATO-0016,6/14/2016 0:00,20160614,2016,CATO,CATO,na,2.2,3,Region,3,{E8B1A3F8-B411-4B6B-8452-2A46AA9DD804},12
CATO-0016,8/12/2008 10:57,20080812,2008,CATO,CATO,na,1,3,Region,1,{B1478EBD-B22F-4D32-941A-1F1AD3CA1ADE},12
CATO-0016,8/31/2012 0:00,20120831,2012,CATO,CATO,na,2.0.1,3,Region,2,{7E61EF17-6FD1-4565-8F61-ED0C22FFC07D},12
CATO-0035,8/23/2007 11:27,20070823,2007,CATO,CATO,na,1,2,Region,1,{73DF0B9D-0D3B-43A3-9E04-C6F0B3FEC3BF},12
CATO-0035,6/26/2015 0:00,20150626,2015,CATO,CATO,na,2.2,2,Region,3,{E00FC273-01A4-43F7-A8D1-BB7F9C16CFA0},12
CATO-0035,7/22/2019 0:00,20190722,2019,CATO,CATO,na,,2,Region,4,20190722105044-292866826.057434,12
CATO-0035,9/23/2011 10:15,20110923,2011,CATO,CATO,na,2.0.1,2,Region,2,{4D6B67F1-5204-452A-AED4-26589B5F0262},12
CATO-0037,8/1/2007 0:00,20070801,2007,CATO,CATO,na,1,2,Region,1,{78958683-D08F-4E88-B1F1-9192B9F87AFE},12
CATO-0037,9/26/2011 10:45,20110926,2011,CATO,CATO,na,2.0.1,2,Region,2,{26B01594-768B-4612-B42C-1E9C34E35F9D},12
CATO-0037,7/13/2015 0:00,20150713,2015,CATO,CATO,na,2.2,2,Region,3,{A30BF4DC-A485-4C36-92E0-590B70996DA4},12
CATO-0037,7/19/2019 9:49,20190719,2019,CATO,CATO,na,,2,Region,4,20190430142807-760723590.85083,12
CATO-0043,8/22/2017 0:00,20170822,2017,CATO,CATO,na,2.3,4,Region,3,{F9A493B3-A42C-44B1-A227-FA757C6245FB},12
CATO-0043,7/17/2013 0:00,20130717,2013,CATO,CATO,na,2.0.1,4,Region,2,{BE1FF223-2BA8-447C-ADEE-CC5EAC53FFFD},12
CATO-0043,9/18/2009 11:46,20090918,2009,CATO,CATO,na,2,4,Region,1,{105A8001-9729-4828-8F90-A461E41CEFDE},12
CATO-0049,7/21/2011 11:07,20110721,2011,CATO,CATO,na,2.0.1,2,Region,2,{77A01BF4-EA17-4E7F-A157-6999EF9270E4},12
CATO-0049,8/1/2007 14:27,20070801,2007,CATO,CATO,na,1,2,Region,1,{D18ABEFE-8719-4260-ACAC-14C2DC2E347A},12
CATO-0049,7/20/2015 0:00,20150720,2015,CATO,CATO,na,2.2,2,Region,3,{DB036E8E-CE35-48AE-A422-B799546C4956},12
CATO-0049,8/27/2019 10:41,20190827,2019,CATO,CATO,na,,2,Region,4,20190430144118-961953163.146973,12
CATO-0062,7/26/2012 0:00,20120726,2012,CATO,CATO,na,2.0.1,3,Region,2,{424E4CEB-F9BB-4032-83C1-297A08466610},12
CATO-0062,7/27/2016 0:00,20160727,2016,CATO,CATO,na,2.2,3,Region,3,{F2E01DF8-8D44-4E72-AB35-C3123D4E65D2},12
CATO-0062,7/24/2008 10:24,20080724,2008,CATO,CATO,na,1,3,Region,1,{30A60150-B493-4BBB-849C-8741A1ED4631},12
CATO-0084,7/23/2019 0:00,20190723,2019,CATO,CATO,na,,2,Region,4,20190723113946-573013365.268707,12
CATO-0084,7/22/2015 0:00,20150722,2015,CATO,CATO,na,2.2,2,Region,3,{3C8F5D27-FEEA-4EBF-8E42-636DE435A4FF},12
CATO-0084,8/8/2007 10:54,20070808,2007,CATO,CATO,na,1,2,Region,1,{8A64E79F-3919-4BF5-BCC8-7186447B6E55},12
CATO-0084,8/31/2011 10:07,20110831,2011,CATO,CATO,na,2.0.1,2,Region,2,{560D273D-9CB9-41A1-90BE-6D8604357DEB},12
CATO-0086,7/17/2012 0:00,20120717,2012,CATO,CATO,na,2.0.1,3,Region,2,{6002FA07-B9E4-49A8-BE6B-63D0D518B1FC},12
CATO-0086,7/16/2008 13:35,20080716,2008,CATO,CATO,na,1,3,Region,1,{258E84E8-F639-4473-8CD9-ACDD9C10C3A3},12
CATO-0086,7/28/2016 0:00,20160728,2016,CATO,CATO,na,2.2,3,Region,3,{B8A6D8B5-C18B-4495-840B-2647FC30C72A},12
CATO-0092,6/21/2016 0:00,20160621,2016,CATO,CATO,na,2.2,3,Region,3,{CB4CBA3A-5058-4936-98CF-8E3660BBB8A0},12
