"","Plot_Name","Sample_Year","Live_BA","Dead_BA","Rock_Cover","Bare_Soil_Cover","Trampled","Event_Date_Txt","Deer_Impact","Protocol_Name"
"1","ANTI-0025",2010,0.01431,NA,"1-5","<1","<1",20100719,NA,"2.0.1"
"2","ANTI-0025",2014,0.03664,0,"1-5","<1","<1",20140708,2,"2.1"
"3","ANTI-0025",2018,0.0845,0,"<1","<1","1-5",20180803,3,"2.3"
"4","ANTI-0036",2012,0.14338,NA,"<1","<1","<1",20120911,NA,"2.0.1"
"5","ANTI-0036",2016,0.23585,0,"<1","<1","<1",20160620,4,"2.2"
"6","ANTI-0045",2017,0.17392,0,"1-5","5-25","5-25",20170725,3,"2.3"
"7","ANTI-0052",2018,1.04353,0.67507,"1-5","5-25","<1",20180619,3,"2.3"
"8","ANTI-0052",2014,1.43179,0.08299,"<1","25-50","1-5",20140708,4,"2.1"
"9","ANTI-0052",2010,1.31928,NA,"<1","50-75","<1",20100819,NA,"2.0.1"
"10","ANTI-0072",2006,0.02435,NA,"<1","<1","1-5",20060731,NA,"1.0"
"11","ANTI-0072",2014,0.35391,0,"<1","<1","<1",20140716,3,"2.1"
"12","ANTI-0072",2018,0.53945,0,"<1","1-5","<1",20180627,5,"2.3"
"13","ANTI-0072",2010,0.13141,NA,"<1","<1","<1",20100722,NA,"2.0.1"
"14","ANTI-0082",2012,1.0239,NA,"<1","25-50","<1",20120925,NA,"2.0.1"
"15","ANTI-0082",2016,1.21392,0.01651,"<1","25-50","25-50",20160712,4,"2.2"
"16","ANTI-0092",2011,2.13984,NA,"1-5","<1","1-5",20110707,NA,"2.0.1"
"17","ANTI-0092",2015,2.05267,0.23898,"1-5","<1","<1",20150625,4,"2.2"
"18","ANTI-0092",2019,2.16717,0.16208,"<1","1-5","<1",20190603,4,""
"19","ANTI-0092",2007,1.97424,NA,"1-5","1-5","1-5",20070706,NA,"1.0"
"20","ANTI-0190",2011,2.40708,NA,"1-5","25-50","5-25",20110922,NA,"2.0.1"
"21","ANTI-0190",2015,2.49427,0.18829,"<1","1-5","5-25",20150701,4,"2.2"
"22","ANTI-0190",2019,2.64096,0.22781,"<1","1-5","1-5",20190529,4,""
"23","ANTI-0190",2007,2.14318,NA,"1-5","5-25","5-25",20070716,NA,"1.0"
"24","ANTI-0194",2012,1.74135,NA,"<1","50-75","1-5",20120911,NA,"2.0.1"
"25","ANTI-0194",2016,1.79021,0.25323,"1-5","25-50","5-25",20160712,5,"2.2"
"26","ANTI-0200",2013,2.08735,0.3418,"<1","1-5","1-5",20130730,4,"2.0.1"
"27","ANTI-0200",2017,2.42355,0.29975,"<1","1-5","<1",20170616,4,"2.3"
"28","ANTI-0201",2010,2.02836,NA,"<1","50-75","1-5",20100719,NA,"2.0.1"
"29","ANTI-0201",2014,2.16378,0.0141,"<1","75-100","1-5",20140716,4,"2.1"
"30","ANTI-0201",2018,2.01716,0.25686,"1-5","50-75","5-25",20180627,4,"2.3"
"31","ANTI-0206",2013,1.97834,0.07163,"<1","5-25","<1",20130815,3,"2.0.1"
"32","ANTI-0206",2017,2.0717,0.18785,"<1","5-25","<1",20170705,3,"2.3"
"33","ANTI-0207",2015,2.59206,0.12332,"1-5","1-5","1-5",20150723,4,"2.2"
"34","ANTI-0207",2007,2.75497,NA,"1-5","5-25","1-5",20070731,NA,"1.0"
"35","ANTI-0207",2019,2.53385,0.20586,"<1","5-25","<1",20190529,4,""
"36","ANTI-0207",2011,2.51524,NA,"1-5","25-50","1-5",20110912,NA,"2.0.1"
"37","CATO-0003",2007,2.93554,NA,"25-50","75-100","<1",20070904,NA,"1.0"
"38","CATO-0003",2015,2.70677,0.24403,"5-25","50-75","<1",20150804,4,"2.2"
"39","CATO-0003",2019,2.65844,0.24334,"5-25","25-50","<1",20190905,4,""
"40","CATO-0003",2011,2.77108,NA,"25-50","50-75","<1",20110815,NA,"2.0.1"
"41","CATO-0004",2019,1.82435,0.65501,"1-5","50-75","<1",20190808,3,""
"42","CATO-0004",2015,2.29622,0.12909,"1-5","1-5","<1",20150803,5,"2.2"
"43","CATO-0004",2007,2.13165,NA,"1-5","5-25","<1",20070904,NA,"1.0"
"44","CATO-0004",2011,2.21487,NA,"1-5","5-25","<1",20110815,NA,"2.0.1"
"45","CATO-0015",2017,2.38603,1.12344,"<1","1-5","<1",20170719,3,"2.3"
"46","CATO-0015",2013,2.70861,0.69247,"1-5","1-5","<1",20130719,4,"2.0.1"
"47","CATO-0015",2009,2.59184,NA,"1-5","25-50","<1",20090917,NA,"2.0"
"48","CATO-0016",2016,2.56927,0.45396,"25-50","5-25","5-25",20160614,3,"2.2"
"49","CATO-0016",2008,2.39631,NA,"5-25","5-25","<1",20080812,NA,"1.0"
"50","CATO-0016",2012,2.64567,NA,"5-25","1-5","<1",20120831,NA,"2.0.1"
"51","CATO-0035",2007,3.04921,NA,"50-75","75-100","<1",20070823,NA,"1.0"
"52","CATO-0035",2015,2.23527,1.72706,"5-25","1-5","<1",20150626,4,"2.2"
"53","CATO-0035",2019,1.8201,1.45846,"25-50","5-25","<1",20190722,4,""
"54","CATO-0035",2011,2.87704,NA,"50-75","75-100","<1",20110923,NA,"2.0.1"
"55","CATO-0037",2007,1.06101,NA,"5-25","1-5","<1",20070801,NA,"1.0"
"56","CATO-0037",2011,1.08418,NA,"25-50","1-5","<1",20110926,NA,"2.0.1"
"57","CATO-0037",2015,1.13949,0,"25-50","<1","<1",20150713,3,"2.2"
"58","CATO-0037",2019,1.05408,0.18743,"5-25","1-5","<1",20190719,4,""
