Plot_Name,Unit_Code,Unit_Group,Subunit_Code,Panel,Frame,GRTS_Order,Location_Status,Location_Notes,Event_Count,Event_Earliest,Event_Latest,Slope,Aspect,UTM_18N_NAD83_X,UTM_18N_NAD83_Y,Latitude,Longitude
ANTI-0025,ANTI,ANTI,na,1,Park,2550,Active,Nothing in microplots during plot setup,3,20100719,20180803,14,52,263500,4374500,39.4876088,-77.7499788
ANTI-0036,ANTI,ANTI,na,3,Park,2923,Active,,2,20120911,20160620,11,127,264000,4374250,39.485496,-77.7440827
ANTI-0045,ANTI,ANTI,na,4,Park,4428,Active,,1,20170725,20170725,0,N/A,264000,4374000,39.483246,-77.743994
ANTI-0052,ANTI,ANTI,na,1,Park,960,Active,,3,20100819,20180619,0,N/A,263250,4373750,39.4807899,-77.7526163
ANTI-0072,ANTI,ANTI,na,1,Region,70,Active,No saplings in microplot 60 at setup.  Swapped distance and azimuth for 12738 (6.7)  and 12739 (9.5) as well as 1868 (10.5) and 1869 (7.5).,4,20060731,20180627,4,335,263500,4373250,39.4763585,-77.7495355
ANTI-0082,ANTI,ANTI,na,3,Park,2574,Active,,2,20120925,20160712,18,294,266500,4373250,39.4771777,-77.7146946
ANTI-0092,ANTI,ANTI,na,2,Region,414,Active,Stinging Nettle in microplot 300,4,20070706,20190603,18,160,265500,4373000,39.4746557,-77.7262205
ANTI-0190,ANTI,ANTI,na,2,Region,346,Active,,4,20070716,20190529,12,95,264250,4370000,39.4473133,-77.7396774
ANTI-0194,ANTI,ANTI,na,3,Park,3583,Active,,2,20120911,20160712,50,346,265250,4370000,39.4475863,-77.7280687
ANTI-0200,ANTI,ANTI,na,4,Park,4100,Active,,2,20130730,20170616,24,300,264750,4369750,39.4451999,-77.733785
ANTI-0201,ANTI,ANTI,na,1,Park,892,Active,,3,20100719,20180627,31,71,265000,4369750,39.4452681,-77.730883
ANTI-0206,ANTI,ANTI,na,4,Park,3834,Active,No saplings in microplots at time of setup,2,20130815,20170705,9,274,264750,4369500,39.4429498,-77.733697
ANTI-0207,ANTI,ANTI,na,2,Region,393,Active,,4,20070731,20190529,40,145,265000,4369500,39.443018,-77.730795
CATO-0003,CATO,CATO,na,2,Region,251,Active,,4,20070904,20190905,23,62,287000,4395750,39.6850412,-77.483803
CATO-0004,CATO,CATO,na,2,Region,256,Active,,4,20070904,20190808,7,340,286500,4395500,39.682666,-77.4895475
CATO-0015,CATO,CATO,na,4,Region,801,Active,,3,20090917,20170719,5,24,286750,4394750,39.675977,-77.4863927
CATO-0016,CATO,CATO,na,3,Region,526,Active,,3,20080812,20160614,19,98,287000,4394750,39.6760394,-77.4834804
CATO-0035,CATO,CATO,na,2,Region,239,Active,"Microplots 180 and 300 with no saplings/shrubs at setup Confirm that none of the following Hamamelis virginiana fall within microplots, and then remove tags from study:  5677, 5684, 5685, 5687, 5688, 5689.

Need to correct distance on tree 5703.",4,20070823,20190722,25,42,286750,4394000,39.6692257,-77.4861505
CATO-0037,CATO,CATO,na,2,Region,241,Active,About 1/3 of plot covered by mile-a-minute and lots of Vitis as well,4,20070801,20190719,18,108,287250,4394000,39.6693503,-77.4803265
CATO-0043,CATO,CATO,na,4,Region,815,Active,,3,20090918,20170822,3,104,285750,4393750,39.6667252,-77.4977174
CATO-0049,CATO,CATO,na,2,Region,255,Active,Tree painted by mistake (outside of plot) at azimuth 168,4,20070801,20190827,40,132,287250,4393750,39.6670998,-77.480246
CATO-0062,CATO,CATO,na,3,Region,528,Active,Plot center is between two large ashes in a sea of spice bushes at time of setup.,3,20080724,20160727,21,315,287500,4393500,39.6649115,-77.4772536
CATO-0084,CATO,CATO,na,2,Region,329,Active,,4,20070808,20190723,6,347,285500,4393000,39.6599112,-77.5003858
CATO-0086,CATO,CATO,na,3,Region,531,Active,,3,20080716,20160728,17,51,286000,4393000,39.6600365,-77.4945626
CATO-0092,CATO,CATO,na,3,Region,534,Active,"North stake is under several logs, 180 stake is at 9 m.  Sampling should be completed at 9m for the 180 degree quadrat.",3,20080922,20160621,18,295,287500,4393000,39.6604106,-77.4770928
CATO-0094,CATO,CATO,na,2,Region,242,Active,No shrubs or saplings in microplot 180 at setup,4,20070829,20190802,17,350,288000,4393000,39.6605347,-77.4712694
CATO-0098,CATO,CATO,na,3,Region,522,Active,No shrubs or saplings in microplots 180 or 300 at setup,3,20080925,20160803,40,108,289000,4393000,39.6607821,-77.4596226
CATO-0100,CATO,CATO,na,4,Region,805,Active,No saplings in any microplot at setup.,3,20090928,20170711,16,87,289500,4393000,39.6609054,-77.4537992
CATO-0101,CATO,CATO,na,3,Region,547,Active,,3,20080910,20160830,38,50,289750,4393000,39.6609669,-77.4508874
CATO-0104,CATO,CATO,na,3,Region,523,Active,,3,20080716,20160727,0,N/A,286750,4392750,39.6579734,-77.4857471
CATO-0106,CATO,CATO,na,4,Region,800,Active,No shrubs/sapling at 60 at time of setup,3,20090908,20170713,18,286,287250,4392750,39.658098,-77.479924
CATO-0113,CATO,CATO,na,4,Region,799,Active,No saplings in microplots 180 and 300 at setup.,3,20090929,20170915,26,66,289000,4392750,39.6585316,-77.4595428
CATO-0127,CATO,CATO,na,4,Region,816,Active,No saplings in any microplot at setup.  360 degree stake installed at 15.5 m due to bedrock obstruction. 60 degree stake installed at 10.6 m due to bedrock obstruction.,3,20090930,20170915,24,342,288500,4392500,39.6561576,-77.465286
CATO-0131,CATO,CATO,na,4,Region,803,Active,No saplings in any microplot at setup.,3,20090925,20170711,8,117,289500,4392500,39.6564043,-77.4536399
CATO-0150,CATO,CATO,na,3,Region,527,Active,Due to rockiness the 0 degree stake is at ~16.5 meteres out. The 60 degree microplot is marked with a stake but rather a small blue paint spot on a rock. No shrubs or saplings at microplot 60 at setup,3,20080910,20160830,15,65,289750,4392250,39.6542153,-77.4506488
CATO-0156,CATO,CATO,na,4,Region,823,Active,,3,20090917,20170712,11,316,287000,4392000,39.6512843,-77.4825939
CATO-0158,CATO,CATO,na,2,Region,262,Active,"5287 was tagged in error 14.14 m, 79 degrees. It is Hammemelis which is measured in microplots, not the main plot. No saplings or shurbs in subplot 180 at setup",4,20070717,20190903,25,340,287500,4392000,39.6514087,-77.4767713
CATO-0160,CATO,CATO,na,3,Region,525,Active,No saplings or shrubs in microplots 180 or 300 at setup,3,20080731,20160725,15,185,288000,4392000,39.6515328,-77.4709487
CATO-0176,CATO,CATO,na,2,Region,260,Active,,4,20070717,20190814,23,340,287250,4391750,39.6490961,-77.4796021
CATO-0206,CATO,CATO,na,2,Region,243,Active,No shrubs or saplings on micorplots 60 or 300 at setup,4,20070802,20190829,18,334,289500,4391500,39.6474023,-77.4533215
CATO-0211,CATO,CATO,na,2,Region,252,Active,No shrubs or saplings on microplot 60 at setup,4,20070726,20190829,35,22,290750,4391500,39.647709,-77.4387655
CATO-0217,CATO,CATO,na,4,Region,808,Active,No saplings in microplot 60 at setup.,3,20090908,20170713,17,247,287250,4391250,39.6445951,-77.4794413
CATO-0237,CATO,CATO,na,2,Region,254,Active,No shrubs or saplings on microplot 300 at seutp,4,20070813,20190812,12,276,287750,4391000,39.6424688,-77.473539
CATO-0238,CATO,CATO,na,3,Region,529,Active,No saplings or shrubs in microplots 60 or 160 at setup,3,20080917,20160728,9,252,288000,4391000,39.6425308,-77.4706281
CATO-0258,CATO,CATO,na,3,Region,613,Active,"0 degree 15m stake in front of large rock, not quite 15m out. Microplots 60 and 300 had no shrubs or saplings at setup",3,20080917,20160622,24,160,288500,4390750,39.6404041,-77.4647263
CATO-0268,CATO,CATO,na,3,Region,610,Active,No shrubs or saplings in microplots 180 and 300 at setup,3,20080717,20160907,22,75,291000,4390750,39.6410185,-77.4356173
CATO-0271,CATO,CATO,na,3,Region,621,Active,"No saplings or shrubs in any microplot at setup.Many fallen trees in plot. Trees 7939,7947 and 7948 are fallen but alive. NPS boundary signs are at the west end of the plot but the acutal boundary is outisde of the plot by a few meters. Japanese barberry ",3,20080922,20160815,18,167,287000,4390500,39.6377815,-77.4821107
CATO-0275,CATO,CATO,na,2,Region,332,Active,No saplings or shurbs in microplot 300 at setup,4,20070829,20190809,32,185,288000,4390500,39.6380299,-77.4704678
CATO-0280,CATO,CATO,na,3,Region,611,Active,No saplings/shrubs in microplots 60 or 300 at time of setup.,3,20080703,20160617,28,118,289250,4390500,39.6383386,-77.455914
CATO-0294,CATO,CATO,na,1,Region,74,Active,No saplings in microplots 60 or 180 at setup,4,20060802,20180820,3,140,287250,4390250,39.6355932,-77.4791196
CATO-0302,CATO,CATO,na,3,Region,620,Active,,3,20080912,20160617,22,156,289250,4390250,39.6360881,-77.4558344
CATO-0303,CATO,CATO,na,1,Region,94,Active,,4,20060802,20180702,13,85,289500,4390250,39.6361497,-77.4529237
CATO-0311,CATO,CATO,na,2,Region,330,Active,No sapling or shrubs in any microplot at setup,4,20070723,20190731,21,115,291500,4390250,39.6366393,-77.4296378
CATO-0313,CATO,CATO,na,2,Region,343,Active,Nothing in microplots 180 or 300 at setup. In abandonded right of way.,4,20070723,20190731,7,72,292000,4390250,39.636761,-77.4238162
CATO-0316,CATO,CATO,na,2,Region,327,Active,,4,20070813,20190815,34,255,288250,4390000,39.6335908,-77.4673971
CATO-0330,CATO,CATO,na,1,Region,75,Active,No trees in subplot 180. Large rock ledges in plot,4,20060719,20180807,40,115,291750,4390000,39.6344496,-77.4266483
CATO-0331,CATO,CATO,na,1,Region,78,Active,No trees on any subplot,4,20060719,20180618,11,114,292000,4390000,39.6345104,-77.4237376
CATO-0333,CATO,CATO,na,3,Region,614,Active,No saplings/shrubs in microplot 60 at time of setup.,3,20080703,20160622,11,180,288750,4389750,39.6314638,-77.4614961
CATO-0346,CATO,CATO,na,1,Region,93,Active,No saplings in any microplot at setup.,4,20060804,20180807,10,25,291250,4389500,39.6298267,-77.4323119
CATO-0347,CATO,CATO,na,2,Region,348,Active,,4,20070913,20190805,15,62,291500,4389500,39.6298876,-77.4294015
CATO-0359,CATO,CATO,na,1,Region,55,Active,No saplings in subplots 60 or 300 at setup,4,20060804,20180810,17,102,291250,4389000,39.6253256,-77.4321542
CATO-0365,CATO,CATO,na,1,Region,71,Active,,4,20060803,20180810,35,204,291250,4388500,39.6208244,-77.4319966
CHOH-0006,CHOH,CUMB,na,1,Region,190,Active,,4,20061002,20180920,9,50,226000,4398500,39.6924002,-78.1953445
CHOH-0015,CHOH,CUMB,na,4,Region,738,Active,No saplings in microplot 180 at set-up.,3,20090922,20170921,6,164,231500,4398000,39.6896484,-78.1310919
CHOH-0026,CHOH,CUMB,na,1,Region,181,Active,,4,20061002,20180615,0,N/A,233500,4397250,39.6835269,-78.1074986
CHOH-0069,CHOH,CUMB,na,4,Region,741,Active,,3,20090921,20170825,0,N/A,221250,4393500,39.6458844,-78.2485457
