"X","Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","Tag","TSN","TaxonCode","Latin_Name","StemsLive","SumLiveBasalArea_cm2","Equiv_Live_DBH_cm","DBH_Check","Status","Browsable","Browsed","SaplingVigor","VigorClass","SumDeadBasalArea_cm2","Equiv_Dead_DBH_cm"
1,"ANTI-0025","ANTI","ANTI","na",4,1,"Park",2018,20180803,25203,25782,123832,"Cercis canadensis",1,3.8,2.2,0,"Alive Standing","Yes","Yes",2,"Light Decline",0,0
2,"ANTI-0025","ANTI","ANTI","na",4,1,"Park",2018,20180803,25204,25112,129587,"Amelanchier canadensis",1,1.1,1.2,0,"Alive Standing","Yes","Yes",3,"Moderate Decline",0,0
3,"ANTI-0025","ANTI","ANTI","na",4,1,"Park",2018,20180803,25204,25112,129587,"Amelanchier canadensis",1,1.5,1.4,0,"Alive Standing","Yes","Yes",3,"Moderate Decline",0,0
4,"ANTI-0036","ANTI","ANTI","na",3,3,"Park",2016,20160620,16821,19254,96095,"Juglans nigra",1,15.2,4.4,0,"Alive Standing","Yes","No",NA,"",0,0
5,"ANTI-0036","ANTI","ANTI","na",3,3,"Park",2016,20160620,22459,19254,96095,"Juglans nigra",1,10.2,3.6,0,"Alive Standing","Yes","No",NA,"",0,0
6,"ANTI-0036","ANTI","ANTI","na",3,3,"Park",2016,20160620,15793,19227,106132,"Carya cordiformis",1,62.2,8.9,0,"Alive Standing","Yes","No",NA,"",0,0
7,"ANTI-0036","ANTI","ANTI","na",2,3,"Park",2012,20120911,16823,18048,92550,"Juniperus virginiana",1,1.8,1.5,0,"Alive Standing","Yes","No",NA,"",0,0
8,"ANTI-0036","ANTI","ANTI","na",2,3,"Park",2012,20120911,16821,19254,96095,"Juglans nigra",1,1,1.1,0,"Alive Standing","Yes","Yes",NA,"",0,0
9,"ANTI-0036","ANTI","ANTI","na",2,3,"Park",2012,20120911,16821,19254,96095,"Juglans nigra",1,0.8,1,0,"Alive Standing","Yes","Yes",NA,"",0,0
10,"ANTI-0036","ANTI","ANTI","na",3,3,"Park",2016,20160620,22460,19254,96095,"Juglans nigra",1,3.8,2.2,0,"Alive Standing","Yes","No",NA,"",0,0
11,"ANTI-0036","ANTI","ANTI","na",2,3,"Park",2012,20120911,16822,18048,92550,"Juniperus virginiana",1,1,1.1,0,"Alive Standing","Yes","No",NA,"",0,0
12,"ANTI-0036","ANTI","ANTI","na",2,3,"Park",2012,20120911,15793,19227,106132,"Carya cordiformis",1,30.2,6.2,0,"Alive Standing","Yes","No",NA,"",0,0
13,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23297,26714,121871,"Gleditsia triacanthos",1,35.3,6.7,0,"Alive Standing","Yes","No",1,"Healthy",0,0
14,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23295,19408,97632,"Quercus rubra",1,2.3,1.7,0,"Alive Standing","Yes","Yes",1,"Healthy",0,0
15,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23294,19254,96095,"Juglans nigra",1,1.8,1.5,0,"Alive Standing","Yes","No",1,"Healthy",0,0
16,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23294,19254,96095,"Juglans nigra",1,1,1.1,0,"Alive Standing","Yes","No",1,"Healthy",0,0
17,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23298,26714,121871,"Gleditsia triacanthos",1,4.9,2.5,0,"Alive Standing","Yes","No",1,"Healthy",0,0
18,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23298,26714,121871,"Gleditsia triacanthos",1,3.5,2.1,0,"Alive Standing","Yes","No",1,"Healthy",0,0
19,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23101,26714,121871,"Gleditsia triacanthos",1,1.8,1.5,0,"Alive Standing","Yes","No",1,"Healthy",0,0
20,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23296,26714,121871,"Gleditsia triacanthos",1,16.6,4.6,0,"Alive Standing","Yes","No",1,"Healthy",0,0
21,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23296,26714,121871,"Gleditsia triacanthos",1,15.9,4.5,0,"Alive Standing","Yes","No",1,"Healthy",0,0
22,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23102,26714,121871,"Gleditsia triacanthos",1,3.8,2.2,0,"Alive Standing","Yes","No",1,"Healthy",0,0
23,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23292,19408,97632,"Quercus rubra",1,3.1,2,0,"Alive Standing","Yes","No",1,"Healthy",0,0
24,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23300,26714,121871,"Gleditsia triacanthos",1,10.8,3.7,0,"Alive Standing","Yes","No",1,"Healthy",0,0
25,"ANTI-0045","ANTI","ANTI","na",3,4,"Park",2017,20170725,23293,19408,97632,"Quercus rubra",1,20.4,5.1,0,"Alive Standing","Yes","No",1,"Healthy",0,0
26,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,19321,18117,86731,"Asimina triloba",1,58.1,8.6,0,"Alive Standing","No","No",1,"Healthy",0,0
27,"ANTI-0052","ANTI","ANTI","na",3,1,"Park",2014,20140708,21445,18117,86731,"Asimina triloba",1,1.5,1.4,0,"Alive Leaning","Yes","No",NA,"",0,0
28,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25664,18117,86731,"Asimina triloba",1,9.6,3.5,0,"Alive Standing","No","No",1,"Healthy",0,0
29,"ANTI-0052","ANTI","ANTI","na",2,1,"Park",2010,20100819,19326,18117,86731,"Asimina triloba",1,4.5,2.4,0,"Alive Standing","Yes","No",NA,"",0,0
30,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25668,18117,86731,"Asimina triloba",1,2.5,1.8,0,"Alive Leaning","Yes","No",1,"Healthy",0,0
31,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25660,18117,86731,"Asimina triloba",1,3.8,2.2,0,"Alive Standing","Yes","No",1,"Healthy",0,0
32,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25685,18117,86731,"Asimina triloba",1,5.7,2.7,0,"Alive Standing","Yes","No",1,"Healthy",0,0
33,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25658,18117,86731,"Asimina triloba",1,6.2,2.8,0,"Alive Standing","No","No",1,"Healthy",0,0
34,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,19325,28749,126739,"Acer negundo",1,4.9,2.5,0,"Alive Standing","Yes","No",1,"Healthy",0,0
35,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,19325,28749,126739,"Acer negundo",1,55.4,8.4,0,"Alive Standing","Yes","No",1,"Healthy",0,0
36,"ANTI-0052","ANTI","ANTI","na",2,1,"Park",2010,20100819,19321,18117,86731,"Asimina triloba",1,23.8,5.5,0,"Alive Standing","No","No",NA,"",0,0
37,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25667,18117,86731,"Asimina triloba",1,4.2,2.3,0,"Alive Standing","Yes","No",1,"Healthy",0,0
38,"ANTI-0052","ANTI","ANTI","na",3,1,"Park",2014,20140708,21450,18117,86731,"Asimina triloba",1,2.3,1.7,0,"Alive Standing","Yes","No",NA,"",0,0
39,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25684,18117,86731,"Asimina triloba",1,2.3,1.7,0,"Alive Leaning","Yes","No",1,"Healthy",0,0
40,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25686,18117,86731,"Asimina triloba",1,1.5,1.4,0,"Alive Standing","Yes","No",1,"Healthy",0,0
41,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,21444,18117,86731,"Asimina triloba",1,1.5,1.4,0,"Alive Fallen","Yes","No",1,"Healthy",0,0
42,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25661,18117,86731,"Asimina triloba",1,2.5,1.8,0,"Alive Standing","Yes","No",1,"Healthy",0,0
43,"ANTI-0052","ANTI","ANTI","na",3,1,"Park",2014,20140708,19323,28749,126739,"Acer negundo",1,47.8,7.8,0,"Alive Standing","Yes","Yes",NA,"",0,0
44,"ANTI-0052","ANTI","ANTI","na",2,1,"Park",2010,20100819,19328,28749,126739,"Acer negundo",1,24.6,5.6,0,"Alive Standing","No","No",NA,"",0,0
45,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25652,18117,86731,"Asimina triloba",1,0.8,1,0,"Alive Leaning","Yes","No",1,"Healthy",0,0
46,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,21449,18117,86731,"Asimina triloba",1,11.9,3.9,0,"Alive Standing","No","No",1,"Healthy",0,0
47,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25682,18117,86731,"Asimina triloba",1,2,1.6,0,"Alive Standing","Yes","No",1,"Healthy",0,0
48,"ANTI-0052","ANTI","ANTI","na",3,1,"Park",2014,20140708,19325,28749,126739,"Acer negundo",1,39.6,7.1,0,"Alive Standing","Yes","Yes",NA,"",0,0
49,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,21450,18117,86731,"Asimina triloba",1,3.5,2.1,0,"Alive Standing","No","No",1,"Healthy",0,0
50,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,21446,18117,86731,"Asimina triloba",1,2.3,1.7,0,"Alive Leaning","Yes","No",1,"Healthy",0,0
51,"ANTI-0052","ANTI","ANTI","na",3,1,"Park",2014,20140708,21448,18117,86731,"Asimina triloba",1,2,1.6,0,"Alive Standing","Yes","No",NA,"",0,0
52,"ANTI-0052","ANTI","ANTI","na",3,1,"Park",2014,20140708,21446,18117,86731,"Asimina triloba",1,1.8,1.5,0,"Alive Leaning","Yes","No",NA,"",0,0
53,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,21447,18117,86731,"Asimina triloba",1,4.2,2.3,0,"Alive Standing","No","No",1,"Healthy",0,0
54,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,21451,18117,86731,"Asimina triloba",1,11.3,3.8,0,"Alive Standing","Yes","No",1,"Healthy",0,0
55,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25665,18117,86731,"Asimina triloba",1,2.5,1.8,0,"Alive Standing","Yes","No",1,"Healthy",0,0
56,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,19322,19227,106132,"Carya cordiformis",1,26.4,5.8,0,"Alive Standing","Yes","Yes",1,"Healthy",0,0
57,"ANTI-0052","ANTI","ANTI","na",2,1,"Park",2010,20100819,19323,28749,126739,"Acer negundo",1,45.4,7.6,0,"Alive Standing","Yes","Yes",NA,"",0,0
58,"ANTI-0052","ANTI","ANTI","na",3,1,"Park",2014,20140708,19322,19227,106132,"Carya cordiformis",1,12.6,4,0,"Alive Standing","Yes","Yes",NA,"",0,0
59,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25650,18117,86731,"Asimina triloba",1,3.5,2.1,0,"Alive Leaning","Yes","No",1,"Healthy",0,0
60,"ANTI-0052","ANTI","ANTI","na",3,1,"Park",2014,20140708,21449,18117,86731,"Asimina triloba",1,5.3,2.6,0,"Alive Standing","Yes","No",NA,"",0,0
61,"ANTI-0052","ANTI","ANTI","na",3,1,"Park",2014,20140708,21449,18117,86731,"Asimina triloba",1,1.1,1.2,0,"Alive Standing","Yes","No",NA,"",0,0
62,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25681,18117,86731,"Asimina triloba",1,1.8,1.5,0,"Alive Standing","Yes","No",1,"Healthy",0,0
63,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,21445,18117,86731,"Asimina triloba",1,2,1.6,0,"Alive Leaning","Yes","No",1,"Healthy",0,0
64,"ANTI-0052","ANTI","ANTI","na",3,1,"Park",2014,20140708,19321,18117,86731,"Asimina triloba",1,36.3,6.8,0,"Alive Leaning","No","No",NA,"",0,0
65,"ANTI-0052","ANTI","ANTI","na",3,1,"Park",2014,20140708,21443,18117,86731,"Asimina triloba",1,7.1,3,0,"Alive Standing","No","No",NA,"",0,0
66,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25662,18117,86731,"Asimina triloba",1,11.9,3.9,0,"Alive Standing","Yes","No",1,"Healthy",0,0
67,"ANTI-0052","ANTI","ANTI","na",2,1,"Park",2010,20100819,19322,19227,106132,"Carya cordiformis",1,8,3.2,0,"Alive Standing","Yes","No",NA,"",0,0
68,"ANTI-0052","ANTI","ANTI","na",4,1,"Park",2018,20180619,25666,18117,86731,"Asimina triloba",1,1.8,1.5,0,"Alive Standing","Yes","No",1,"Healthy",0,0
