"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","Quadrat_Number","Latin_Name","TaxonCode","Height","Browsable","Browsed"
"ANTI-0025","ANTI","ANTI","na",4.00,1,"Park",2018,20180803,"120-13m","Quercus rubra",97632,22.00,"Yes","No"
"ANTI-0025","ANTI","ANTI","na",4.00,1,"Park",2018,20180803,"120-8m","Juniperus virginiana",92550,28.00,"Yes","No"
"ANTI-0025","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"240-3m","Ailanthus altissima",126826,32.00,"Yes","No"
"ANTI-0025","ANTI","ANTI","na",4.00,1,"Park",2018,20180803,"240-8m","Acer rubrum",125779,16.00,"Yes","No"
"ANTI-0025","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"240-8m","Ailanthus altissima",126826,16.00,"Yes","No"
"ANTI-0025","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"240-8m","Ailanthus altissima",126826,68.00,"Yes","No"
"ANTI-0025","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"360-13m","Cercis canadensis",123832,17.00,"Yes","No"
"ANTI-0025","ANTI","ANTI","na",4.00,1,"Park",2018,20180803,"360-13m","Acer rubrum",125779,19.00,"Yes","No"
"ANTI-0025","ANTI","ANTI","na",2.00,1,"Park",2010,20100719,"360-3m","Ailanthus altissima",126826,22.00,"unk","unk"
"ANTI-0025","ANTI","ANTI","na",3.00,1,"Park",2014,20140708,"360-8m","Ailanthus altissima",126826,20.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-13m","Celtis occidentalis",102130,15.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-13m","Acer negundo",126739,15.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-13m","Fraxinus americana",129682,35.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-13m","Acer negundo",126739,42.00,"Yes","Yes"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-13m","Celtis occidentalis",102130,39.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,20160620,"120-13m","Acer negundo",126739,16.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,20160620,"120-13m","Acer negundo",126739,21.00,"Yes","Yes"
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,20160620,"120-13m","Acer negundo",126739,49.00,"Yes","Yes"
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,20160620,"120-13m","Acer negundo",126739,16.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,20160620,"120-13m","Acer negundo",126739,20.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,20160620,"120-13m","Celtis occidentalis",102130,25.00,"Yes","Yes"
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,20160620,"120-13m","Celtis occidentalis",102130,28.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-3m","Celtis occidentalis",102130,24.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-3m","Celtis occidentalis",102130,25.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-3m","Fraxinus americana",129682,60.00,"Yes","Yes"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-3m","Celtis occidentalis",102130,19.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-3m","Celtis occidentalis",102130,24.50,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-3m","Celtis occidentalis",102130,18.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,20160620,"120-3m","Acer negundo",126739,15.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,20160620,"120-3m","Celtis occidentalis",102130,23.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-8m","Celtis occidentalis",102130,25.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-8m","Celtis occidentalis",102130,19.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-8m","Celtis occidentalis",102130,25.00,"Yes","No"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,20120911,"120-8m","Celtis occidentalis",102130,20.00,"Yes","No"
