"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","Quadrat_Number","Latin_Name","TaxonCode","Height","Browsable","Browsed"
"ANTI-0045","ANTI","ANTI","na",3.00,4,"Park",2017,20170725,"360-8m","Lonicera maackii",131684,20.00,"Yes","No"
"ANTI-0052","ANTI","ANTI","na",4.00,1,"Park",2018,20180619,"240-13m","Lonicera maackii",131684,16.00,"Yes","No"
"ANTI-0072","ANTI","ANTI","na",3.00,1,"Region",2014,20140716,"120-3m","Rosaceae Family",,48.00,"Yes","No"
"ANTI-0072","ANTI","ANTI","na",4.00,1,"Region",2018,20180627,"120-3m","Unknown",,22.00,"Yes","No"
"ANTI-0072","ANTI","ANTI","na",4.00,1,"Region",2018,20180627,"120-3m","Rosaceae Family",,32.00,"Yes","No"
"ANTI-0072","ANTI","ANTI","na",3.00,1,"Region",2014,20140716,"240-8m","Lonicera maackii",131684,24.00,"Yes","Yes"
"ANTI-0072","ANTI","ANTI","na",4.00,1,"Region",2018,20180627,"300","Elaeagnus umbellata",130524,55.00,"Yes","Yes"
"ANTI-0072","ANTI","ANTI","na",4.00,1,"Region",2018,20180627,"360-13m","Elaeagnus umbellata",130524,22.00,"Yes","No"
"ANTI-0072","ANTI","ANTI","na",4.00,1,"Region",2018,20180627,"360-13m","Elaeagnus umbellata",130524,21.00,"Yes","Yes"
"ANTI-0072","ANTI","ANTI","na",4.00,1,"Region",2018,20180627,"360-8m","Elaeagnus umbellata",130524,56.00,"Yes","No"
"ANTI-0072","ANTI","ANTI","na",4.00,1,"Region",2018,20180627,"360-8m","Elaeagnus umbellata",130524,53.00,"Yes","No"
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,20160712,"240-3m","Lonicera maackii",131684,34.00,"Yes","No"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,20120925,"240-3m","Lonicera maackii",131684,15.00,"Yes","No"
