"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","Tag","TSN","TaxonCode","Latin_Name","Status","Habit","Browsed","Browsable","SaplingVigor","VigorClass"
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,"20120911",15795,35298,131684,"Lonicera maackii","Alive Standing","Shrub","No","Yes",,
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,"20120911",16824,35298,131684,"Lonicera maackii","Alive Standing","Shrub","No","Yes",,
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,"20160620",15794,35299,131685,"Lonicera morrowii","Alive Standing","Shrub","Yes","Yes",,
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,"20120911",15792,35299,131685,"Lonicera morrowii","Alive Standing","Shrub","No","Yes",,
"ANTI-0036","ANTI","ANTI","na",2.00,3,"Park",2012,"20120911",15794,35299,131685,"Lonicera morrowii","Alive Standing","Shrub","No","Yes",,
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,"20160620",15795,35298,131684,"Lonicera maackii","Alive Leaning","Shrub","Yes","Yes",,
"ANTI-0036","ANTI","ANTI","na",3.00,3,"Park",2016,"20160620",16824,35298,131684,"Lonicera maackii","Alive Standing","Shrub","Yes","Yes",,
"ANTI-0072","ANTI","ANTI","na",4.00,1,"Region",2018,"20180627",25699,27776,130524,"Elaeagnus umbellata","Alive Standing","Shrub","No","Yes",1,"Healthy"
"ANTI-0072","ANTI","ANTI","na",4.00,1,"Region",2018,"20180627",25700,27776,130524,"Elaeagnus umbellata","Alive Standing","Shrub","Yes","Yes",1,"Healthy"
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,"20120925",16868,35298,131684,"Lonicera maackii","Alive Standing","Shrub","Yes","Yes",,
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,"20160712",15964,35298,131684,"Lonicera maackii","Alive Standing","Shrub","Yes","Yes",,
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,"20160712",22569,35298,131684,"Lonicera maackii","Alive Standing","Shrub","Yes","Yes",,
"ANTI-0082","ANTI","ANTI","na",2.00,3,"Park",2012,"20120925",15964,35298,131684,"Lonicera maackii","Alive Standing","Shrub","Yes","Yes",,
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,"20160712",22570,35298,131684,"Lonicera maackii","Alive Standing","Shrub","Yes","Yes",,
"ANTI-0082","ANTI","ANTI","na",3.00,3,"Park",2016,"20160712",16868,35298,131684,"Lonicera maackii","Alive Standing","Shrub","Yes","Yes",,
