"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","TSN","Latin_Name","Tag_Status","Host_Tag","Host_Latin_Name","Host_Status","Condition","Exotic"
"NACE-0167","NACE","GREE","BAWA",3.00,4,"Region",2017,20170530,28632,"Ampelopsis brevipedunculata","Sapling",20199,"Pyrus calleryana","Alive Standing","Vines in the crown",1
"ROCR-0186","ROCR","ROCR","na",3.00,2,"Region",2015,20150518,29393,"Hedera helix","Sapling",4642,"Viburnum sieboldii","Alive Standing",,1
"GWMP-0207","GWMP","TIDE","THIS",4.00,1,"Region",2018,20180608,506068,"Celastrus orbiculatus","Sapling",458,"Malus baccata","Alive Standing","Vines in the crown",1
"CHOH-0281","CHOH","CUMB","na",4.00,2,"Region",2019,20190822,35283,"Lonicera japonica","Sapling",15535,"Asimina triloba","Alive Standing",,1
"CHOH-1191","CHOH","BRUN","na",4.00,1,"Region",2018,20180628,34309,"Campsis radicans","Sapling",770,"Ulmus americana","Alive Standing","Vines in the crown",0
"CHOH-1191","CHOH","BRUN","na",4.00,1,"Region",2018,20180628,24833,"Rosa multiflora","Sapling",770,"Ulmus americana","Alive Standing","Vines in the crown",1
"NACE-0623","NACE","PISC","PISC",4.00,2,"Region",2019,20190522,43346,"Smilax rotundifolia","Inactive (In Field)",8234,"Vaccinium fuscatum","Alive Standing",,0
"GWMP-0253","GWMP","TIDE","na",3.00,2,"Region",2015,20150506,29393,"Hedera helix","Sapling",4423,"Lonicera maackii","Alive Standing",,1
"GWMP-0253","GWMP","TIDE","na",3.00,2,"Region",2015,20150506,27950,"Euonymus fortunei","Sapling",4423,"Lonicera maackii","Alive Standing",,1
"GWMP-0253","GWMP","TIDE","na",3.00,2,"Region",2015,20150506,35283,"Lonicera japonica","Sapling",4423,"Lonicera maackii","Alive Standing",,1
"CHOH-1191","CHOH","BRUN","na",4.00,1,"Region",2018,20180628,24833,"Rosa multiflora","Sapling",12582,"Asimina triloba","Alive Standing",,1
"NACE-0649","NACE","PISC","PISC",3.00,3,"Region",2016,20160511,506068,"Celastrus orbiculatus","Sapling",16464,"Juniperus virginiana","Alive Standing",,1
"NACE-0649","NACE","PISC","PISC",3.00,3,"Region",2016,20160511,35283,"Lonicera japonica","Sapling",16464,"Juniperus virginiana","Alive Standing",,1
"NACE-0649","NACE","PISC","PISC",3.00,3,"Region",2016,20160511,28602,"Parthenocissus quinquefolia","Sapling",16464,"Juniperus virginiana","Alive Standing",,0
"NACE-0623","NACE","PISC","PISC",4.00,2,"Region",2019,20190522,43346,"Smilax rotundifolia","Sapling",8231,"Liquidambar styraciflua","Alive Standing","Vines in the crown",0
"GWMP-0253","GWMP","TIDE","na",3.00,2,"Region",2015,20150506,18712,"Clematis terniflora","Sapling",21929,"Lonicera maackii","Alive Standing",,1
"PRWI-0097","PRWI","PRWI","na",4.00,2,"Region",2019,20190816,43346,"Smilax rotundifolia","Sapling",15458,"Vaccinium fuscatum","Alive Standing",,0
"CHOH-0921","CHOH","WILL","na",3.00,4,"Region",2017,20170818,28610,"Vitis vulpina","Sapling",20715,"Asimina triloba","Alive Standing",,0
"PRWI-0707","PRWI","PRWI","na",3.00,4,"Region",2017,20170710,43346,"Smilax rotundifolia","Sapling",12021,"Vaccinium corymbosum","Alive Standing","Vines in the crown",0
"NACE-0493","NACE","PISC","PISC",3.00,4,"Region",2017,20170523,506068,"Celastrus orbiculatus","Sapling",12093,"Prunus serotina","Alive Fallen","Vines in the crown",1
"NACE-0493","NACE","PISC","PISC",3.00,4,"Region",2017,20170523,28610,"Vitis vulpina","Sapling",12093,"Prunus serotina","Alive Fallen","Vines in the crown",0
"PRWI-0025","PRWI","PRWI","na",4.00,2,"Region",2019,20190708,43346,"Smilax rotundifolia","Sapling",15376,"Fagus grandifolia","Alive Standing","Vines in the crown",0
"NACE-0649","NACE","PISC","PISC",3.00,3,"Region",2016,20160511,34309,"Campsis radicans","Sapling",16470,"Juniperus virginiana","Alive Standing",,0
"NACE-0649","NACE","PISC","PISC",3.00,3,"Region",2016,20160511,28602,"Parthenocissus quinquefolia","Sapling",16470,"Juniperus virginiana","Alive Standing",,0
"NACE-0649","NACE","PISC","PISC",3.00,3,"Region",2016,20160511,35283,"Lonicera japonica","Sapling",16470,"Juniperus virginiana","Alive Standing",,1
"PRWI-0273","PRWI","PRWI","na",3.00,3,"Region",2016,20160609,43346,"Smilax rotundifolia","Sapling",7276,"Vaccinium fuscatum","Alive Standing","Vines in the crown",0
"MANA-0060","MANA","MANA","na",4.00,1,"Region",2018,20180508,35283,"Lonicera japonica","Sapling",12621,"Elaeagnus umbellata","Alive Standing","Vines in the crown",1
"PRWI-0659","PRWI","PRWI","na",3.00,4,"Region",2017,20170615,43346,"Smilax rotundifolia","Sapling",9484,"Quercus falcata","Alive Standing","Vines in the crown",0
"PRWI-0120","PRWI","PRWI","na",4.00,2,"Region",2019,20190716,43346,"Smilax rotundifolia","Sapling",6812,"Quercus alba","Alive Standing","Vines in the crown",0
"CHOH-0281","CHOH","CUMB","na",3.00,2,"Region",2015,20150824,35283,"Lonicera japonica","Sapling",15537,"Asimina triloba","Alive Standing",,1
"PRWI-0273","PRWI","PRWI","na",3.00,3,"Region",2016,20160609,43346,"Smilax rotundifolia","Sapling",16916,"Quercus falcata","Alive Standing",,0
