"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Panel","Frame","GRTS_Order","Location_Status","Location_Notes","Event_Count","Event_Earliest","Event_Latest","UTM_ZONE_NAD83_X","UTM_ZONE_NAD83_Y","Latitude","Longitude","UTM_Zone","Aspect"
"ACAD-001","ACAD","Unburned","Schoodic","1","NETN",17,"Active","Carpet moss forest. Stakes were off above and below original orientation. Orientation was changed to minimize number of stakes reset.",4,20060606,20180702,574066,4913328,44.3694468493372,-68.0703987834943,19,0
"ACAD-002","ACAD","Unburned","Schoodic","1","NETN",19,"Active","Huckelberry understory, jack pine forest on schoodic head. ",4,20060607,20180702,575371,4911411,44.3520561057384,-68.0542995966506,19,360
"ACAD-003","ACAD","Unburned","Schoodic","1","NETN",31,"Active","Questionable site (25% cover?); jack pine stunted woodland.",4,20060608,20180702,574969,4909331,44.3333741074069,-68.0596422936876,19,150
"ACAD-004","ACAD","1947","MDI East","1","NETN",36,"Active","Coniferous forest with tamarack.",4,20060609,20180628,556272,4914012,44.3772035776832,-68.2936374548757,19,290
"ACAD-005","ACAD","1947","MDI East","1","NETN",32,"Active","Red oak, big tooth aspen forest.  No ACAD plot tag. 2014-changed plot orientation to 182 from 180",4,20060612,20180625,563669,4911926,44.3578133922394,-68.2010492901572,19,360
"ACAD-006","ACAD","Unburned","MDI East","1","NETN",2,"Active","Near Trail, stunted red spruce woodland.2014: Changed orientation from 280 to 286. UL rebar not able to install- oved it to UC.",4,20060613,20180627,556874,4909854,44.3397252726351,-68.2865357278362,19,100
"ACAD-007","ACAD","Unburned","MDI East","1","NETN",21,"Active","Openings in canopy; red spruce dominated, near trail.",4,20060613,20180627,556675,4910889,44.3490581871287,-68.2889192943284,19,338
"ACAD-008","ACAD","Unburned","MDI East","1","NETN",33,"Active","Tree size Amelanchier, near Jordon pond.",4,20060614,20180627,558967,4908990,44.3317803422405,-68.260379693193,19,70
"ACAD-009","ACAD","Unburned","MDI East","1","NETN",12,"Active","Chose north transect because of two competing slopes in plot; red spruce, white cedar forest. Reset BC 06/30/2014",4,20060614,20180705,562369,4907600,44.3189830953858,-68.2178786984226,19,225
"ACAD-010","ACAD","1947","MDI East","1","NETN",35,"Active","UL corner witness trees; ur micro stake flat to ground; rocky beech, red maple forest.",4,20060615,20180626,558371,4914868,44.3847434663027,-68.2671954343032,19,330
"ACAD-011","ACAD","1947","MDI East","1","NETN",5,"Active","White and red pine forest, thick needle groundlayer.. ",4,20060615,20180705,558171,4912797,44.3661160248263,-68.2699377667012,19,0
"ACAD-012","ACAD","1947","MDI East","1","NETN",11,"Active","Red oak-Spruce woodland with huckleberry and bracken fern understory.",4,20060619,20180626,559064,4916430,44.3987486555135,-68.2583184796796,19,80
"ACAD-013","ACAD","1947","MDI East","1","NETN",9,"Active","White pine/red oak forest; abundant lichen in groundlayer.",4,20060619,20180626,559867,4916780,44.4018334730511,-68.248195515462,19,40
"ACAD-014","ACAD","1947","MDI East","1","NETN",18,"Active","West of pony shed.  Most stakes and tags were removed from the plot by a vandal, including plot center.  A new plot ACAD_MDI_014 was re-established in its place, and all of the original trees were located. Tree data are comparable, but quadrat and microplot data are not. 2014 - Reset UC, was set at 6.5m. Reset UL, was set at 9.8m.",4,20060620,20180628,559967,4914179,44.3784107029011,-68.2472400191939,19,190
"ACAD-015","ACAD","1947","MDI East","1","NETN",29,"Active","Beech and red oak forest; rocky.",4,20060620,20180628,555066,4914001,44.3771971631089,-68.3087760050636,19,190
"ACAD-016","ACAD","Unburned","MDI West","1","NETN",34,"Active","Red spruce, white cedar; steep and rocky.",4,20060621,20180703,550771,4905507,44.301044168457,-68.3635139648435,19,270
"ACAD-017","ACAD","Unburned","MDI West","1","NETN",30,"Active","Diverse understory plot- sphagnum and upland species. Data missing for terrain position, A. Vincello, 5/13/2009.",4,20060621,20180703,549172,4904476,44.2918725037145,-68.3836556108008,19,245
"ACAD-018","ACAD","Unburned","MDI West","1","NETN",7,"Active","LL CWD transect extends out of forested area near gravel pile and on a black saturn with government plates and playing loud music.  Red maple, red spruce forest.",4,20060621,20180712,551671,4903276,44.2808962283068,-68.3524526333647,19,0
"ACAD-019","ACAD","Unburned","MDI West","1","NETN",26,"Active","GPS beacon not working, used garmin with antenna to waypoint.  White cedar forest with sphagnum herb layer.",4,20060622,20180717,548367,4908618,44.3292149090131,-68.393361301719,19,0
"ACAD-020","ACAD","Unburned","IAH","1","NETN",20,"Active","IAH: black spruce trees, rocky.",4,20060626,20180710,528957,4876073,44.0372444828354,-68.6385974894841,19,210
"ACAD-021","ACAD","Unburned","IAH","1","NETN",41,"Active","IAH: pitch pine woodland, lots of huckleberry. Reset BR 7/1/2014",4,20060626,20180711,528865,4876252,44.0388596944617,-68.6397359231871,19,210
"ACAD-022","ACAD","Unburned","IAH","1","NETN",13,"Active","IAH: plot at edge of bog with Arethusa and Calopogon orchids. ",4,20060627,20180710,530164,4875038,44.02787746389,-68.6235926310498,19,95
"ACAD-023","ACAD","Unburned","IAH","1","NETN",25,"Active","IAH:  Very rocky, sampled 1 quad on large rock, near long pond trail. Orientation recorded as 270 by 2010 crew.",4,20060628,20180709,530975,4876759,44.0433382668425,-68.6133719019353,19,90
"ACAD-024","ACAD","Unburned","MDI West","1","NETN",14,"Active","Red maple dominated forest with dense huckleberry understory.",4,20060629,20180716,549066,4906045,44.3060046139418,-68.384836720669,19,320
"ACAD-025","ACAD","Unburned","MDI West","1","NETN",15,"Active","Cedar forest with large downed logs in plot.  Stream near left side of plot.. ",4,20060629,20180716,549369,4906547,44.3105033462265,-68.3809905920534,19,320
"ACAD-026","ACAD","Unburned","MDI West","1","NETN",6,"Active","LR stake is 20cm upslope from measured spot because of root.  Cedar forest with large downed logs, upslope from large wetland.",4,20060629,20180717,548175,4907259,44.3169932787938,-68.3958948780407,19,250
"ACAD-027","ACAD","Unburned","MDI West","1","NETN",43,"Active","Spruce-fir forest, little herb cover.. Took 100 positions, still poor accuracy",4,20060704,20180712,553767,4900671,44.2572929015066,-68.3264549491252,19,220
"ACAD-028","ACAD","Unburned","MDI East","1","NETN",45,"Active","Beech/ Maple forest, close to Day Mtn. carriage trail.",4,20060704,20180705,561453,4906376,44.3080424746066,-68.229508696145,19,110
"ACAD-029","ACAD","Unburned","MDI West","1","NETN",46,"Active","White cedar, sphagnum forest.",4,20060705,20180703,550369,4903785,44.285569835385,-68.3687193924254,19,0
"ACAD-030","ACAD","Unburned","MDI East","1","NETN",49,"Active",NA,4,20060706,20180625,563560,4906903,44.3126053710826,-68.2030296457987,19,120
"ACAD-031","ACAD","Unburned","MDI West","1","NETN",38,"Active","Discontinuous canopy; dense spruce understory, hardwood dominants.",4,20060706,20180712,551073,4906731,44.3120420238606,-68.359608409834,19,60
"ACAD-032","ACAD","Unburned","MDI West","1","NETN",54,"Active","White cedar, spruce forest - up slope from stream full of w. cedar blowdowns.",4,20060710,20180716,550358,4906904,44.3136493580832,-68.3685563716542,19,40
"ACAD-033","ACAD","Unburned","MDI West","1","NETN",50,"Active","Red spruce/white cedar forest.. ",4,20060710,20180716,549465,4906376,44.308957391267,-68.3798031850499,19,340
"ACAD-034","ACAD","1947","MDI East","1","NETN",52,"Active","Long hike in down breakneck fireroad- r. oak and r. maple codominates, r. spruce intermediates.. Poor accuracy, took 75 positions.",4,20060711,20180626,558168,4916250,44.3972007703057,-68.2695890205885,19,310
"ACAD-035","ACAD","1947","MDI East","1","NETN",56,"Active","Rock outcrop and opening in center of plot- lots of balsam fir. ",4,20060711,20180705,559069,4911925,44.3581935364397,-68.2587675358267,19,320
