"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Cycle","Panel","Frame","Sample_Year","Date","TaxonCode","Latin_Name","Host_Tree_Tag","Host_TSN","Host_Latin_Name","Host_Status","Condition","Exotic"
"WEFA-001","WEFA","WEFA",NA,"1",2,"NETN",2007,"20070704",NA,"Unknown species",8,19487,"Betula lenta","Alive","Vines in the crown",0
"ROVA-013","ROVA","ROVA_VAMA","VAMA","1",2,"NETN",2007,"20070626",NA,"Unknown species",1,183289,"Picea abies","Alive","Vines in the crown",1
"MORR-001","MORR","MORR_NJ_Brigade","NJ Brigade","1",2,"NETN",2007,"20070611",NA,"Unknown species",2,19487,"Betula lenta","Alive","Vines in the crown",0
"SARA-008","SARA","SARA",NA,"1",1,"NETN",2006,"20060810",NA,"Unknown species",8,32931,"Fraxinus americana","Alive","Vines in the crown",0
"ROVA-013","ROVA","ROVA_VAMA","VAMA","1",2,"NETN",2007,"20070626",NA,"Unknown species",19,183289,"Picea abies","Alive","Vines in the crown",1
"ROVA-031","ROVA","ROVA_HOFR_West","ELRO/HOFR","3",4,"NETN",2017,"20170606",NA,"Unknown species",20,28731,"Acer saccharum","Alive Leaning","Vines in the crown",0
"MIMA-008","MIMA","MIMA_Battle_Road",NA,"1",1,"NETN",2006,"20060720",NA,"Unknown species",13,28728,"Acer rubrum","Alive","Vines in the crown",0
"ROVA-017","ROVA","ROVA_HOFR_East","ELRO/HOFR","1",2,"NETN",2007,"20070628",NA,"Unknown species",2,32929,"Fraxinus pennsylvanica","Alive","Vines in the crown",0
"ROVA-013","ROVA","ROVA_VAMA","VAMA","1",2,"NETN",2007,"20070626",NA,"Unknown species",22,183289,"Picea abies","Alive","Vines in the crown",1
"MIMA-013","MIMA","MIMA_Battle_Road",NA,"1",3,"NETN",2008,"20080624",NA,"Unknown species",14,19447,"Quercus velutina","Alive","Vines in the crown",0
"SARA-010","SARA","SARA",NA,"1",1,"NETN",2006,"20060814",NA,"Unknown species",10,19049,"Ulmus americana","Alive","Vines in the crown",0
"MORR-001","MORR","MORR_NJ_Brigade","NJ Brigade","1",2,"NETN",2007,"20070611",NA,"Unknown species",5,32931,"Fraxinus americana","Alive","Vines in the crown",0
"ROVA-007","ROVA","ROVA_VAMA","VAMA","1",2,"NETN",2007,"20070625",NA,"Unknown species",10,19290,"Quercus alba","Alive","Vines in the crown",0
"MORR-006","MORR","MORR_Jockey_Hollow",NA,"2",2,"NETN",2011,"20110523",NA,"Unknown species",4,32931,"Fraxinus americana","Alive Standing","Vines in the crown",0
"ROVA-019","ROVA","ROVA_ELRO","ELRO/HOFR","1",2,"NETN",2007,"20070627",NA,"Unknown species",2,19511,"Ostrya virginiana","Alive","Vines in the crown",0
"ROVA-028","ROVA","ROVA_VAMA","VAMA","1",4,"NETN",2009,"20090608",NA,"Unknown species",5,19227,"Carya cordiformis","Alive","Vines in the crown",0
"MIMA-012","MIMA","MIMA_Battle_Road",NA,"1",3,"NETN",2008,"20080624",NA,"Unknown species",1,28728,"Acer rubrum","Alive","Vines in the crown",0
"MIMA-020","MIMA","MIMA_Battle_Road",NA,"1",3,"NETN",2008,"20080626",NA,"Unknown species",4,22524,"Salix discolor","Alive","Vines in the crown",0
"MORR-006","MORR","MORR_Jockey_Hollow",NA,"1",2,"NETN",2007,"20070612",NA,"Unknown species",8,32931,"Fraxinus americana","Alive","Vines in the crown",0
"MIMA-002","MIMA","MIMA_Battle_Road",NA,"1",1,"NETN",2006,"20060716",NA,"Unknown species",6,28728,"Acer rubrum","Alive","Vines in the crown",0
"MIMA-015","MIMA","MIMA_Battle_Road",NA,"1",3,"NETN",2008,"20080625",NA,"Unknown species",18,24764,"Prunus serotina","Alive","Vines in the crown",0
"MORR-006","MORR","MORR_Jockey_Hollow",NA,"1",2,"NETN",2007,"20070612",NA,"Unknown species",5,18086,"Liriodendron tulipifera","Alive","Vines in the crown",0
"MIMA-002","MIMA","MIMA_Battle_Road",NA,"1",1,"NETN",2006,"20060716",NA,"Unknown species",7,183389,"Pinus sylvestris","Alive","Vines in the crown",1
"MORR-012","MORR","MORR_Jockey_Hollow",NA,"1",2,"NETN",2007,"20070614",NA,"Unknown species",14,19247,"Carya tomentosa","Alive","Vines in the crown",0
"MORR-001","MORR","MORR_NJ_Brigade","NJ Brigade","1",2,"NETN",2007,"20070611",NA,"Unknown species",13,19447,"Quercus velutina","Alive","Vines in the crown",0
"MIMA-011","MIMA","MIMA_North_Bridge",NA,"1",3,"NETN",2008,"20080623",NA,"Unknown species",2,28728,"Acer rubrum","Alive","Vines in the crown",0
"SARA-020","SARA","SARA",NA,"3",3,"NETN",2016,"20160531",NA,"Unknown species",22,28573,"Rhamnus cathartica","Alive Standing","Vines in the crown",1
"ROVA-031","ROVA","ROVA_HOFR_West","ELRO/HOFR","3",4,"NETN",2017,"20170606",NA,"Unknown species",16,28731,"Acer saccharum","Alive Standing","Vines in the crown",0
"MIMA-011","MIMA","MIMA_North_Bridge",NA,"1",3,"NETN",2008,"20080623",NA,"Unknown species",3,28728,"Acer rubrum","Alive","Vines in the crown",0
"WEFA-004","WEFA","WEFA",NA,"1",2,"NETN",2007,"20070705",NA,"Unknown species",11,19242,"Carya ovata","Alive","Vines in the crown",0
"SARA-001","SARA","SARA",NA,"1",1,"NETN",2006,"20060808",NA,"Unknown species",4,19049,"Ulmus americana","Alive","Vines in the crown",0
"ROVA-010","ROVA","ROVA_VAMA","VAMA","1",2,"NETN",2007,"20070626",NA,"Unknown species",11,28731,"Acer saccharum","Alive","Vines in the crown",0
"ROVA-023","ROVA","ROVA_HOFR_West","ELRO/HOFR","1",4,"NETN",2009,"20090603",NA,"Unknown species",9,24764,"Prunus serotina","Alive","Vines in the crown",0
"MIMA-004","MIMA","MIMA_Battle_Road",NA,"4",1,"NETN",2018,"20180618",NA,"Unknown species",8,32931,"Fraxinus americana","Alive Leaning","Vines in the crown",0
"WEFA-007","WEFA","WEFA",NA,"1",4,"NETN",2009,"20090616",NA,"Unknown species",13,19481,"Betula alleghaniensis","Alive","Vines in the crown",0
"MIMA-018","MIMA","MIMA_Battle_Road",NA,"1",3,"NETN",2008,"20080626",NA,"Unknown species",12,28728,"Acer rubrum","Alive","Vines in the crown",0
"ROVA-016","ROVA","ROVA_HOFR_East","ELRO/HOFR","1",2,"NETN",2007,"20070628",NA,"Unknown species",15,19408,"Quercus rubra","Alive","Vines in the crown",0
"MIMA-020","MIMA","MIMA_Battle_Road",NA,"1",3,"NETN",2008,"20080626",NA,"Unknown species",6,19497,"Betula populifolia","Alive","Vines in the crown",0
"ROVA-013","ROVA","ROVA_VAMA","VAMA","1",2,"NETN",2007,"20070626",NA,"Unknown species",9,183289,"Picea abies","Alive","Vines in the crown",1
"ROVA-031","ROVA","ROVA_HOFR_West","ELRO/HOFR","3",4,"NETN",2017,"20170606",NA,"Unknown species",13,28731,"Acer saccharum","Alive Standing","Vines in the crown",0
"WEFA-004","WEFA","WEFA",NA,"1",2,"NETN",2007,"20070705",NA,"Unknown species",4,19487,"Betula lenta","Alive","Vines in the crown",0
"ROVA-031","ROVA","ROVA_HOFR_West","ELRO/HOFR","3",4,"NETN",2017,"20170606",NA,"Unknown species",14,28731,"Acer saccharum","Alive Standing","Vines in the crown",0
"MIMA-020","MIMA","MIMA_Battle_Road",NA,"1",3,"NETN",2008,"20080626",NA,"Unknown species",8,19497,"Betula populifolia","Alive","Vines in the crown",0
"MORR-001","MORR","MORR_NJ_Brigade","NJ Brigade","1",2,"NETN",2007,"20070611",NA,"Unknown species",1,32931,"Fraxinus americana","Alive","Vines in the crown",0
"MORR-024","MORR","MORR_NJ_Brigade","NJ Brigade","1",4,"NETN",2009,"20090528",NA,"Unknown species",5,18086,"Liriodendron tulipifera","Alive","Vines in the crown",0
"MIMA-002","MIMA","MIMA_Battle_Road",NA,"1",1,"NETN",2006,"20060716",NA,"Unknown species",4,28728,"Acer rubrum","Alive","Vines in the crown",0
"SARA-009","SARA","SARA",NA,"1",1,"NETN",2006,"20060814",NA,"Unknown species",2,183385,"Pinus strobus","Alive","Vines in the crown",0
"MIMA-018","MIMA","MIMA_Battle_Road",NA,"1",3,"NETN",2008,"20080626",NA,"Unknown species",1,19049,"Ulmus americana","Alive","Vines in the crown",0
"MIMA-008","MIMA","MIMA_Battle_Road",NA,"1",1,"NETN",2006,"20060720",NA,"Unknown species",12,28728,"Acer rubrum","Alive","Vines in the crown",0
"MORR-001","MORR","MORR_NJ_Brigade","NJ Brigade","1",2,"NETN",2007,"20070611",NA,"Unknown species",3,18086,"Liriodendron tulipifera","Alive","Vines in the crown",0
"MORR-006","MORR","MORR_Jockey_Hollow",NA,"1",2,"NETN",2007,"20070612",NA,"Unknown species",4,32931,"Fraxinus americana","Alive","Vines in the crown",0
"ROVA-032","ROVA","ROVA_HOFR_West","ELRO/HOFR","2",4,"NETN",2013,"20130605",NA,"Unknown species",6,19231,"Carya glabra","Alive Standing","Vines in the crown",0
