"term","estimate","lower95","upper95","num_boots","park","resp"
"Intercept",0.0074101024681115,-0.0323582554952643,0.0631439862068285,1000,"GETT","Sap_BA_Exotic"
"Slope",0.0192661926908932,0.00211282473279163,0.0453625396257732,1000,"GETT","Sap_BA_Exotic"
"c1_response",0.0266762951590047,-0.000268236128622003,0.0724651472918433,1000,"GETT","Sap_BA_Exotic"
"c2_response",0.0459424878498978,0.00411025715235125,0.0968408329412098,1000,"GETT","Sap_BA_Exotic"
"c3_response",0.065208680540791,0.00821509627776577,0.129947848815951,1000,"GETT","Sap_BA_Exotic"
"Intercept",0.823207050020068,0.389900509635922,1.23963082726858,1000,"GETT","Sap_BA_NatCan"
"Slope",0.0418693478243704,-0.075576043927193,0.172007669048528,1000,"GETT","Sap_BA_NatCan"
"c1_response",0.865076397844438,0.51209553831145,1.2039893286391,1000,"GETT","Sap_BA_NatCan"
"c2_response",0.906945745668809,0.585207885957794,1.23926871945047,1000,"GETT","Sap_BA_NatCan"
"c3_response",0.948815093493179,0.616703523893263,1.2865798935996,1000,"GETT","Sap_BA_NatCan"
"Intercept",0.245998584392296,0.0919860063893036,0.439252247866082,1000,"GETT","Sap_BA_NatOth"
"Slope",0.0646733672822692,-0.0251062025020914,0.152494545754976,1000,"GETT","Sap_BA_NatOth"
"c1_response",0.310671951674566,0.18112211913804,0.46326440949726,1000,"GETT","Sap_BA_NatOth"
"c2_response",0.375345318956835,0.226564468337966,0.542766265115486,1000,"GETT","Sap_BA_NatOth"
"c3_response",0.440018686239104,0.244635467229526,0.677053391032124,1000,"GETT","Sap_BA_NatOth"
"Intercept",1.07617596805435,0.594342726641438,1.59282189964693,1000,"GETT","Sap_BA_Total"
"Slope",0.125973821107331,-0.0398464517841808,0.298651122368288,1000,"GETT","Sap_BA_Total"
"c1_response",1.20214978916168,0.812248880846575,1.64192477020584,1000,"GETT","Sap_BA_Total"
"c2_response",1.32812361026901,0.968630248710834,1.72145977818509,1000,"GETT","Sap_BA_Total"
"c3_response",1.45409743137634,1.06286213642735,1.91409743939104,1000,"GETT","Sap_BA_Total"
"Intercept",0.00332891857725135,-0.0000145740189698621,0.00762806725488869,994,"GETT","Sap_Dens_Exotic"
"Slope",0.000180875215314958,-0.000714609840892113,0.000933067172101316,994,"GETT","Sap_Dens_Exotic"
"c1_response",0.00350979379256631,0.00035730492044606,0.00798754552074117,994,"GETT","Sap_Dens_Exotic"
"c2_response",0.00369066900788126,0.000709341557943355,0.0084568403445471,994,"GETT","Sap_Dens_Exotic"
"c3_response",0.00387154422319622,0.000833427861475063,0.00887589987325552,994,"GETT","Sap_Dens_Exotic"
"Intercept",0.06372258170536,0.0278668062537888,0.103049615090011,1000,"GETT","Sap_Dens_NatCan"
"Slope",0.0170601083666201,0.00460272513941226,0.0310865858497816,1000,"GETT","Sap_Dens_NatCan"
"c1_response",0.0807826900719801,0.0456129506359422,0.117793010877553,1000,"GETT","Sap_Dens_NatCan"
"c2_response",0.0978427984386002,0.061450491234715,0.139413381787066,1000,"GETT","Sap_Dens_NatCan"
"c3_response",0.11490290680522,0.0735393077098064,0.163733465964927,1000,"GETT","Sap_Dens_NatCan"
"Intercept",0.0285333721532284,0.00285843936356868,0.0575290697328193,1000,"GETT","Sap_Dens_NatOth"
"Slope",0.0134627306877041,0.00232163756719986,0.0270901534745033,1000,"GETT","Sap_Dens_NatOth"
"c1_response",0.0419961028409326,0.0215473848151159,0.0654019450602843,1000,"GETT","Sap_Dens_NatOth"
"c2_response",0.0554588335286367,0.0328426351891318,0.0815906599200062,1000,"GETT","Sap_Dens_NatOth"
"c3_response",0.0689215642163408,0.0393875439658246,0.101362939619042,1000,"GETT","Sap_Dens_NatOth"
"Intercept",0.0943348591806684,0.0429877250985058,0.148316882920964,1000,"GETT","Sap_Dens_Total"
"Slope",0.0311724692403279,0.0116648913499851,0.0537765632891248,1000,"GETT","Sap_Dens_Total"
"c1_response",0.125507328420996,0.0812779367784674,0.175970363572506,1000,"GETT","Sap_Dens_Total"
"c2_response",0.156679797661324,0.108887982042399,0.211871833032137,1000,"GETT","Sap_Dens_Total"
"c3_response",0.187852266901652,0.130613905385812,0.25421471849302,1000,"GETT","Sap_Dens_Total"
"Intercept",0.0416431739228797,-0.00420875420875423,0.0968256758819053,1000,"GETT","Seed_Dens_Exotic"
"Slope",0.00584845624356658,-0.0106753090693024,0.0239898989898991,1000,"GETT","Seed_Dens_Exotic"
"c1_response",0.0474916301664463,0.0155721581104631,0.0892327002213122,1000,"GETT","Seed_Dens_Exotic"
"c2_response",0.0533400864100129,0.026924363352562,0.0833333333333333,1000,"GETT","Seed_Dens_Exotic"
"c3_response",0.0591885426535794,0.027869452503761,0.0903196944174169,1000,"GETT","Seed_Dens_Exotic"
"Intercept",2.07546138352554,1.26181341808527,3.06683344519109,1000,"GETT","Seed_Dens_NatCan"
"Slope",-0.0551288269028878,-0.403072265184402,0.251043819237545,1000,"GETT","Seed_Dens_NatCan"
"c1_response",2.02033255662265,1.4216969596503,2.74886305830298,1000,"GETT","Seed_Dens_NatCan"
"c2_response",1.96520372971977,1.45536616161617,2.52579557416223,1000,"GETT","Seed_Dens_NatCan"
"c3_response",1.91007490281688,1.39390106562254,2.50109731529843,1000,"GETT","Seed_Dens_NatCan"
"Intercept",-0.0417795880207515,-0.158262017065009,0.0776572166877704,1000,"GETT","Seed_Dens_NatOth"
"Slope",0.216740577831014,0.134313532673665,0.312007490237752,1000,"GETT","Seed_Dens_NatOth"
"c1_response",0.174960989810262,0.0904770276519794,0.270464338437369,1000,"GETT","Seed_Dens_NatOth"
"c2_response",0.391701567641276,0.25,0.541334409225363,1000,"GETT","Seed_Dens_NatOth"
"c3_response",0.60844214547229,0.389697526343283,0.846567708659895,1000,"GETT","Seed_Dens_NatOth"
"Intercept",2.0803180827705,1.24020524353286,3.09773129009577,1000,"GETT","Seed_Dens_Total"
