"Park","DBI_2","DBI_3","DBI_4","DBI_5"
"ACAD",83,84,9,0
"ALPO",2,14,6,0
"ANTI",0,4,7,2
"APCO",0,12,13,3
"BLUE",8,23,1,0
"BOWA",0,4,1,3
"CATO",1,9,25,14
"CHOH",4,11,44,16
"COLO",0,1,30,16
"DEWA",18,60,22,0
"FONE",1,13,6,0
"FRHI",2,7,11,0
"FRSP",0,30,58,16
"GARI",21,20,1,0
"GETT",0,17,15,1
"GEWA",0,1,5,2
"GWMP",2,5,7,6
"HAFE",1,0,10,9
"HOFU",0,3,10,3
"JOFL",2,5,5,0
"MABI",5,10,9,0
"MANA",0,0,7,10
"MIMA",1,12,7,0
"MONO",1,1,6,7
"MORR",0,2,19,7
"NACE",0,18,22,8
"NERI",38,57,7,0
"PETE",2,16,22,12
"PRWI",4,27,62,52
"RICH",0,16,13,3
"ROCR",1,5,6,7
"ROVA",2,15,17,6
"SAGA",3,7,11,0
"SAHI",0,2,2,0
"SARA",0,3,22,7
"THST",0,0,3,5
"VAFO",0,2,12,14
"WEFA",0,4,6,0
"WOTR",0,3,2,1
