"Park","Laurentian Mixed Forest Province","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","Southeastern Mixed Forest Province","Outer Coastal Plain Mixed Forest Province","Eastern Broadleaf Forest (Oceanic) Province","Adirondack-New England Mixed Forest-Coniferous Forest-Alpine Meadow Province","PROVINCE	Eastern Broadleaf Forest (Oceanic) Province"
"ACAD",176,0,0,0,0,0,0
"ALPO",0,22,0,0,0,0,0
"ANTI",0,13,0,0,0,0,0
"APCO",0,0,28,0,0,0,0
"BLUE",0,32,0,0,0,0,0
"BOWA",0,0,8,0,0,0,0
"CATO",0,49,0,0,0,0,0
"CHOH",0,50,25,0,0,0,0
"COLO",0,0,0,47,0,0,0
"DEWA",0,0,0,0,100,0,0
"FONE",0,19,0,0,1,0,0
"FRHI",0,0,0,0,20,0,0
"FRSP",0,0,104,0,0,0,0
"GARI",0,42,0,0,0,0,0
"GETT",0,0,0,0,33,0,0
"GEWA",0,0,0,8,0,0,0
"GWMP",0,0,20,0,0,0,0
"HAFE",0,20,0,0,0,0,0
"HOFU",0,0,0,0,16,0,0
"JOFL",0,12,0,0,0,0,0
"MABI",0,0,0,0,0,24,0
"MANA",0,0,17,0,0,0,0
"MIMA",0,0,0,0,20,0,0
"MONO",0,0,0,0,15,0,0
"MORR",0,0,0,0,28,0,0
"NACE",0,0,40,8,0,0,0
"NERI",0,102,0,0,0,0,0
"PETE",0,0,24,28,0,0,0
"PRWI",0,0,145,0,0,0,0
"RICH",0,0,0,32,0,0,0
"ROCR",0,0,19,0,0,0,0
"ROVA",0,0,0,0,40,0,0
"SAGA",0,0,0,0,0,21,0
"SAHI",0,0,0,0,0,0,4
"SARA",0,0,0,0,32,0,0
"THST",0,0,0,8,0,0,0
"VAFO",0,0,0,0,28,0,0
"WEFA",0,0,0,0,10,0,0
"WOTR",0,0,6,0,0,0,0
