"Unit_Code","linear","exp","best_mod"
"ACAD",132.641760120568,72.8597390366462,"log-linear"
"ALPO",96.2694884252699,56.6037628288675,"log-linear"
"ANTI",103.910092883407,72.4039054258654,"log-linear"
"APCO",118.545347148655,67.4606741718121,"log-linear"
"BLUE",103.905142254693,58.9640804539407,"log-linear"
"BOWA",118.610066965028,61.9708983522639,"log-linear"
"CATO",93.947216290439,54.3581391088802,"log-linear"
"CHOH",107.313352557216,61.794046016309,"log-linear"
"COLO",112.74983229459,70.240507089398,"log-linear"
"DEWA",103.587934052217,54.7513818686518,"log-linear"
"FONE",96.2840115751509,69.2905198326595,"log-linear"
"FRHI",95.9734250963618,54.9699680699729,"log-linear"
"FRSP",106.10201582018,62.6509842591019,"log-linear"
"GARI",110.320420488515,60.1670215605161,"log-linear"
"GETT",100.148225951623,61.7765663375676,"log-linear"
"GEWA",111.482367522556,78.3186903708227,"log-linear"
"GWMP",94.9962374781102,52.6221163388479,"log-linear"
"HAFE",103.751458360322,57.0001235975372,"log-linear"
"HOFU",100.751274958439,69.3041357564966,"log-linear"
"JOFL",113.11878148041,68.8390450822779,"log-linear"
"MABI",94.237527134329,68.4901339231413,"log-linear"
"MANA",113.447446815774,61.601845445818,"log-linear"
"MIMA",101.320569824664,62.1252036546884,"log-linear"
"MONO",97.3059416062393,61.4320206350762,"log-linear"
"MORR",66.621495584497,71.9124836658707,"linear"
"NACE",105.33053538559,63.1418944316328,"log-linear"
"NERI",110.881046827225,61.0748707173136,"log-linear"
"PETE",117.037178379677,67.6901985909821,"log-linear"
"PRWI",109.800427727442,51.1254864370408,"log-linear"
"RICH",115.416648845085,71.8118100342292,"log-linear"
"ROCR",99.3162206868897,70.5401402814939,"log-linear"
"ROVA",99.1527911552546,45.2378788109933,"log-linear"
"SAGA",101.863881480195,60.4107738432471,"log-linear"
"SAHI",70.9817971702371,81.9981306655272,"linear"
"SARA",101.716891219648,49.2663268313706,"log-linear"
"THST",98.3803697852141,77.7225929082393,"log-linear"
"VAFO",100.037069556322,67.0297461885186,"log-linear"
"WEFA",92.8291356253439,68.3493683840067,"log-linear"
"WOTR",99.9094377702205,78.3461592083883,"log-linear"
